est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
0.2853286458861401,-0.09035607037588765,0.643130824855894,True,False,False,False,True,6837,39070,0.3
0.1592188215134513,-0.2209412795366153,0.5394730526859103,True,False,False,False,True,6743,38140,0.3
0.2526973529981322,-0.09347822537603717,0.5770038936531262,True,False,False,False,True,5991,37356,0.3
0.3000424310890423,-0.061470972268585486,0.6081775257885862,True,False,False,False,True,6551,39890,0.3
0.07708144149124435,-0.2652588236706366,0.4000277141799308,False,False,False,False,True,6976,37833,0.3
0.22695207998376626,-0.0879132611153413,0.543098079656356,True,False,False,False,True,6639,39298,0.3
0.13780701261761868,-0.20646502316351512,0.4456995440187975,True,False,False,False,True,6129,39463,0.3
0.18044355296040732,-0.16551690290904975,0.4585388983831849,False,False,False,False,True,6594,37890,0.3
0.2335792135499279,-0.06706877568077416,0.6117545653129746,True,False,False,False,True,6994,37636,0.3
-0.01595095473113678,-0.35996649590513824,0.34460781362094184,False,False,False,False,True,6013,37547,0.3
0.4077581070825007,0.10139905841411057,0.7297128838201244,True,False,False,True,True,6553,39557,0.3
0.1213488164359175,-0.2199221013296454,0.39917129361683495,False,False,False,False,True,6652,39351,0.3
0.08197984480969839,-0.31924961384788675,0.35654353684540874,False,False,False,False,True,6090,37225,0.3
0.3662547725487795,0.006376676453571666,0.7183009273617678,True,False,False,True,True,7003,38821,0.3
0.2624422908627075,-0.043014870987282405,0.5532946995583413,True,False,False,False,True,6027,38971,0.3
0.27007402890050186,-0.06935469576112906,0.5540877484959004,True,False,False,False,True,7465,36403,0.3
0.4177329302474162,0.12191893703912465,0.7373572539574629,True,False,False,True,True,6427,39095,0.3
0.1213488164359175,-0.21305179143448372,0.48088267787336314,False,False,False,False,True,6190,39354,0.3
0.073059633212946,-0.28159755636091494,0.4055868946898126,False,False,False,False,True,6838,37773,0.3
0.21440849153894187,-0.06763047481412987,0.5130122510611589,True,False,False,False,True,7108,37010,0.3
0.32439471099222605,0.011260671909343064,0.6574195685061266,True,False,False,True,True,6552,39256,0.3
0.2116504238045211,-0.2228180101554722,0.5900327123000235,True,False,False,False,True,7000,37039,0.3
0.2201405230677242,-0.1139786357353581,0.579494969937817,True,False,False,False,True,6665,39702,0.3
0.22255684528545955,-0.07364759639435531,0.5708217525459629,True,False,False,False,True,6357,38382,0.3
0.19140895116578321,-0.14182281117129322,0.5553472438781908,True,False,False,False,True,6345,38016,0.3
0.327759000016836,0.04724414077852319,0.6163182184157989,False,False,False,True,True,6713,38388,0.3
0.22178112324783256,-0.10387989306561152,0.4769590283718331,False,False,False,False,True,6492,38924,0.3
0.27456642534915393,-0.009364665872881591,0.6083117339895214,True,False,False,False,True,6724,37230,0.3
0.15150783533930373,-0.20319636421825715,0.4696490477028237,False,False,False,False,True,6373,38826,0.3
