ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
LPG,8256,0.928,6.509,-0.354,0.986,1.311,0.778,-0.439,1.073,0.642,-3.417,-1.282,0.058,0.383,-0.151,-1.367,0.144,-0.286,2
LPLA,8867,0.698,5.069,1.326,0.827,0.346,0.188,1.274,0.82,0.988,-5.81,0.628,0.129,-0.352,-0.51,0.575,0.122,0.29,0
LPRO,3867,-1.707,9.589,-0.92,-1.916,-2.642,-2.451,-1.265,0.292,-3.927,-7.393,0.788,-0.209,-0.935,-0.744,0.442,1.999,-2.22,1
LPX,8867,0.077,5.655,-0.068,-0.184,0.335,-0.05,-0.069,0.442,0.04,-2.017,-0.146,-0.261,0.258,-0.127,-0.146,0.365,-0.037,0
LQDA,5731,1.536,11.343,3.008,1.468,1.122,1.459,1.607,1.715,1.892,-0.56,1.471,-0.068,-0.415,-0.078,0.07,0.178,0.355,0
LQDT,3134,1.214,10.758,1.167,1.159,2.884,1.015,-0.077,0.938,2.212,-12.737,-0.047,-0.055,1.671,-0.199,-1.291,-0.276,0.998,2
LRCX,8867,0.889,6.473,1.22,1.646,0.781,0.777,0.619,0.668,1.886,-0.973,0.331,0.757,-0.108,-0.111,-0.27,-0.221,0.997,0
LRN,8788,0.57,7.357,0.688,0.46,0.658,0.468,0.351,0.403,0.963,-1.927,0.118,-0.11,0.087,-0.102,-0.219,-0.167,0.392,0
LSCC,8867,0.587,7.445,0.614,1.281,0.102,0.244,1.715,0.623,0.07,1.494,0.026,0.694,-0.486,-0.344,1.127,0.036,-0.517,0
LSPD,8324,-0.728,8.911,-0.089,-0.593,-0.9,-0.946,0.149,-1.338,0.248,-3.723,0.638,0.134,-0.173,-0.218,0.877,-0.611,0.976,1
LSTR,8863,0.057,3.776,0.421,0.484,-0.201,-0.442,0.859,-0.152,-0.282,0.371,0.364,0.426,-0.258,-0.499,0.802,-0.209,-0.339,0
LTC,7985,0.058,3.085,0.626,0.264,0.0,-0.103,0.599,-0.015,-0.029,-3.43,0.568,0.205,-0.058,-0.161,0.541,-0.073,-0.087,0
LTH,7664,0.482,7.28,0.657,0.506,0.038,0.146,0.589,1.046,-0.397,-0.741,0.175,0.024,-0.444,-0.336,0.107,0.564,-0.879,0
LULU,8867,-0.258,5.99,-0.581,-0.396,-0.218,0.201,-1.062,0.096,0.816,-4.168,-0.323,-0.138,0.04,0.459,-0.804,0.354,1.074,2
LUMN,5226,-0.381,9.14,-1.141,0.181,0.183,-0.35,-1.005,0.599,-0.814,-3.063,-0.76,0.562,0.564,0.031,-0.624,0.979,-0.434,2
LUNR,4257,-0.11,17.438,-3.551,0.479,0.377,0.113,-0.865,-1.955,-2.834,-0.952,-3.442,0.589,0.487,0.223,-0.755,-1.845,-2.725,2
LUV,8867,0.179,5.525,0.184,0.13,-0.417,-0.031,0.773,0.24,0.286,-3.938,0.005,-0.049,-0.596,-0.21,0.595,0.061,0.108,0
LVS,8867,-0.149,5.526,0.29,-0.179,-0.353,-0.212,0.284,-0.088,0.531,-3.886,0.439,-0.029,-0.204,-0.063,0.433,0.061,0.68,0
LW,8867,0.436,5.43,0.324,0.331,0.238,0.04,0.198,-0.156,0.184,-12.809,-0.113,-0.105,-0.199,-0.396,-0.239,-0.592,-0.252,2
LWLG,3249,-1.178,16.169,-0.568,-1.627,-1.716,-1.39,-2.525,-2.947,6.828,-9.753,0.61,-0.449,-0.538,-0.212,-1.346,-1.768,8.007,3
LXP,8840,0.253,3.526,-0.093,0.0,0.463,0.233,-0.137,0.214,-0.127,0.024,-0.346,-0.253,0.21,-0.02,-0.39,-0.038,-0.38,0
LXU,4926,0.217,10.25,0.3,0.263,0.387,-0.684,0.817,0.375,0.151,-0.404,0.084,0.046,0.17,-0.901,0.6,0.159,-0.066,0
LYB,8867,-0.171,4.559,0.18,0.101,-0.308,-0.442,0.302,-0.133,0.134,-3.441,0.351,0.271,-0.138,-0.271,0.473,0.038,0.305,0
