dp,arr,arr_lo,arr_hi,rr,rr_lo,n_events,n_dates,R1,R2,R3,R4,R6,EST,verdict
0.0,-1.6223530673475595,-3.681009071500033,0.41972395572674964,0.9534523479341415,0.8973157841959382,38193,520,False,False,False,True,True,False,False
0.0,-0.6407249461294728,-2.8927985507842684,1.4008144501609028,0.981410670328432,0.9188770039334556,39521,520,False,False,False,True,True,False,False
0.0,-0.8176488277618243,-2.84917966750226,1.4117932898358911,0.9763200019059394,0.919715070185585,38219,520,False,False,False,True,True,False,False
0.0,-0.7941054288043592,-2.7267505263678102,1.5022957063906295,0.9770006100987033,0.9229906536590158,39150,520,False,False,False,True,True,False,False
0.0,0.2605554598268778,-2.06267678531401,2.2824098226220535,1.0076400623975286,0.9414177793229653,39795,520,False,False,False,True,False,False,False
0.0,1.0292211805050577,-1.0960045795861433,3.2242812746458958,1.0304511682446145,0.9687105878531546,40009,520,False,False,False,True,True,False,False
0.0,1.5434770010415766,-0.09452892737057987,3.639615161956822,1.0459549600976024,0.9972832835452741,40874,520,False,False,False,True,False,False,False
0.0,-0.5827356618682167,-2.9341790776570025,1.5575803395585393,0.983080688141378,0.9179527750296327,39247,520,False,False,False,True,True,False,False
0.0,0.5886188665253977,-1.4887179230088863,2.469085219538218,1.0173223577330148,0.9566013782746621,38684,520,False,False,False,True,False,False,False
0.0,1.1515049597306481,-0.9663879779936325,3.1814892165699415,1.0341189489090683,0.9721475163969641,40157,520,False,False,False,True,False,False,False
0.0,0.9895637077204034,-0.9657612900391777,3.2450503996723876,1.0292647674036515,0.9719012059941334,40049,520,False,False,False,True,False,False,False
0.0,-1.6411140581658767,-3.977135718086477,0.3608863057227803,0.9529302367688944,0.8901370331045929,38449,520,False,False,False,True,True,False,False
0.0,-0.5140987342352132,-2.709971650595858,1.5260817037371504,0.9850624351856336,0.9228909399170828,39677,520,False,False,False,True,False,False,False
0.0,-1.5551054116875795,-3.681645185342,0.7125619964846617,0.9553285671362964,0.8958834986561367,37310,520,False,False,False,True,True,False,False
0.0,0.6790640247328561,-1.2203801729231463,2.7503118017439308,1.0200058873682272,0.9651084857593503,39047,520,False,False,False,True,False,False,False
0.0,-0.38556482371942535,-2.566601843973203,1.702996953483012,0.9887783619706804,0.9272389609063552,38388,520,False,False,False,True,True,False,False
0.0,-0.4300308354344917,-2.5255043879347507,1.6941502096318224,0.9874921620893394,0.9288995395486894,39382,520,False,False,False,True,True,False,False
0.0,-0.3455673050540953,-2.428599293366889,1.7215794309756214,0.9899389822223519,0.9303434878010899,39484,520,False,False,False,True,True,False,False
0.0,-2.984823382192614,-4.9368800804654205,-0.7453402560800831,0.9157346013865727,0.8639580844190187,38101,520,False,False,True,True,True,True,False
0.0,0.22706125351942275,-1.8348014878021424,2.2728413668416705,1.0066549068932582,0.948044316312919,38852,520,False,False,False,True,True,False,False
0.0,1.149032814299028,-1.0559054221135689,3.452289585652544,1.034026576538043,0.9691200138078206,38597,520,False,False,False,True,True,False,False
0.0,0.46600292930794596,-1.6165541395670822,2.167572635077005,1.0136968903884136,0.9541204456278047,39717,520,False,False,False,True,True,False,False
0.0,-0.23367567029874414,-2.260937971909702,2.0117635859993848,0.9931873034486894,0.9358392504116333,38651,520,False,False,False,True,True,False,False
0.0,0.5146415843784169,-1.5264967722216776,2.751166410984245,1.0151372562778953,0.9558138416384728,40677,520,True,False,False,True,True,False,False
0.0,0.47290407358908104,-1.4427091956836577,2.3979780490559777,1.013900342333808,0.9584582425460185,39459,520,False,False,False,True,True,False,False
0.0,0.4680808576851547,-1.50616931297054,2.6834047579069726,1.013756924722809,0.9570862291881114,38998,520,False,False,False,True,True,False,False
0.0,1.8245339311065034,-0.30743461270144795,3.785826323275272,1.0544692813401262,0.9912487919088219,39809,520,False,False,False,True,False,False,False
0.0,-1.6998821569182143,-3.7555147927540586,0.5418365617540974,0.9512710343162862,0.8968891753057894,38139,520,False,False,False,True,True,False,False
0.0,-1.132506868868316,-3.3760124373643756,1.2775465929792376,0.967329733104612,0.9044536774269786,39053,520,False,False,False,True,True,False,False
0.0,-0.7250430736596369,-2.891881963402138,1.1841432016389415,0.9789813725033681,0.9184645794115611,38623,520,False,False,False,True,True,False,False
0.0,-1.4777518459587968,-3.4849422941559363,0.5995020635656102,0.9575452262502473,0.9012541629854658,39062,520,False,False,False,True,True,False,False
0.0,-0.788145947994634,-2.795003831136311,1.313971290686118,0.9771655877458241,0.9219133567040916,38014,520,False,False,False,True,True,False,False
0.0,-1.6665618854840802,-3.491551365382931,0.5947344433775296,0.9522181625273491,0.9014255846175755,38596,520,False,False,False,True,True,False,False
0.0,-1.1734541171978252,-3.4819036367938536,0.6392895324278883,0.9661640765518371,0.9040508262932127,38979,520,False,False,False,True,True,False,False
0.0,0.10800718397094289,-2.0062949898775035,2.176824231800513,1.0031613633113532,0.941996874472431,39900,520,False,False,False,True,True,False,False
2.0,2.2162816296698304,0.12670461190468485,3.970119277921124,1.0649481545658306,1.0035554428008802,41056,520,False,False,True,True,True,True,False
2.0,2.2914748161630416,0.3963430000426782,4.4399982281828185,1.0672056785107882,1.0112381148997045,40320,520,True,False,True,True,True,True,False
2.0,0.3280827533875985,-1.6720530002817404,2.451148087568206,1.00940593887097,0.9536211314894745,40889,520,False,False,False,True,True,False,False
2.0,2.971744370312923,1.0317747073105767,4.924812818388957,1.0878711795426175,1.0296468859502006,42536,520,True,False,True,True,False,True,False
2.0,2.4146356344374342,0.7399463122639676,4.755417928347478,1.0709314089093407,1.0213924401614225,42303,520,True,False,True,True,True,True,False
2.0,1.0248744417582833,-0.8593713961888594,3.4739937246060495,1.029622767572417,0.9763530997685989,41094,520,False,False,False,True,True,False,False
2.0,2.7901259134632705,1.0432559633724117,4.9990850385175225,1.0823165940262165,1.030118740532401,41995,520,True,False,True,True,True,True,False
2.0,1.2780386236028618,-0.5946416646759496,3.3743459991978093,1.0370502642632629,0.9829162489552834,40987,520,False,False,False,True,True,False,False
2.0,1.4634488370971643,-0.5264180028166099,3.492316786881642,1.0425208704684643,0.9849943059049001,40365,520,True,False,False,True,False,False,False
2.0,1.7154060850290975,-0.201012765744067,3.7778070666337915,1.049982598521033,0.9942759405485903,40879,520,True,False,False,True,True,False,False
2.0,3.218101342133317,0.9588269437786406,5.538142532688439,1.0954244679382967,1.0276680260880768,42417,520,True,False,True,True,False,True,False
2.0,2.100266660085137,0.2064015090691024,4.044015550464956,1.0614679919432155,1.0058443360012177,41445,520,False,False,True,True,True,True,False
2.0,1.0669316865668133,-0.9907414175872815,3.1438612736643603,1.0308495000644364,0.9717638057850416,41613,520,False,False,False,True,True,False,False
2.0,2.8756432112483745,0.7188790988472034,4.757679875967175,1.084946694640002,1.0206519741412194,43137,520,True,False,True,True,True,True,False
2.0,1.8759192293692106,-0.08763536314606002,4.182105903540631,1.0547553667656364,0.9974152469027667,43525,520,True,False,False,True,True,False,False
2.0,6.140666829139435,4.105718374810457,8.310736563580441,1.1884514698823294,1.1240278429694643,43871,520,True,False,True,True,False,True,False
2.0,1.047954974506421,-1.2010826962642418,2.9802799388883754,1.030296932905885,0.965602286086289,41235,520,True,False,False,True,True,False,False
2.0,2.4780704338599078,0.375673168721683,4.69725733789576,1.072853811719728,1.010782699921317,42757,520,True,False,True,True,True,True,False
2.0,1.6895855481314892,-0.6899892323661942,3.607826073934879,1.0492167337320817,0.9804502530197547,40627,520,True,False,False,True,True,False,False
2.0,0.5267625703058332,-1.1525270034266066,2.906198895051614,1.0151325389386336,0.967460609998496,41698,520,False,False,False,True,True,False,False
2.0,-0.09952773306182716,-2.223964487972746,1.9143452936223861,0.9971618252526947,0.9387007511969431,41343,520,False,False,False,True,True,False,False
2.0,1.4305001794107985,-0.606674059872634,3.476834201943396,1.0415436352732306,0.9830483802179278,41034,520,True,False,False,True,True,False,False
2.0,1.1455813535322157,-1.007458849951895,3.062154736027861,1.03315836212135,0.9714953737564673,41101,520,False,False,False,True,True,False,False
2.0,2.7076133756768153,0.8561773419985296,4.885734013121564,1.0798007762565305,1.0243775301560272,41676,520,True,False,True,True,True,True,False
2.0,1.2319283398173009,-0.8260271203193356,3.134481157382583,1.035695659520424,0.9765034738533164,40836,520,True,False,False,True,True,False,False
2.0,1.7624444597893196,-0.1694484423346168,3.657487852035807,1.0513758829404154,0.9952233533933398,42439,520,True,False,False,True,False,False,False
2.0,0.6530907843277367,-1.1430035250188246,2.6445027023529697,1.0187900040837825,0.9677482035923178,41722,520,False,False,False,True,True,False,False
2.0,3.7582341322992594,1.4339409896265463,5.6519576196737535,1.1121194611149554,1.0412854620529397,42175,520,True,False,True,True,True,True,False
2.0,2.8797950982086262,0.7424418427958651,5.024614516845898,1.0850720594091159,1.0215514638782035,43080,520,True,False,True,True,False,True,False
2.0,2.6544241489143916,0.4173827232784257,4.773568577972222,1.0781782090560055,1.0118668105633928,41196,520,True,False,True,True,True,True,False
2.0,-0.4201963451588242,-2.5484623397189705,1.6407236714996103,0.9880537901825276,0.9307566360264056,40067,520,False,False,False,True,True,False,False
2.0,3.251211785456398,0.929804003772177,5.281244349053337,1.0964172076783922,1.0267538268368075,41655,520,True,False,True,True,False,True,False
