ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BBDC,🏦majority,0.112,4.645,0.97,0.676,0.69,0.351,1.446,,-1.307,
BBIO,🏦majority,0.612,13.971,-0.423,0.215,-2.581,0.786,0.522,-2.683,,
BBSI,🏦majority,1.191,6.755,-2.166,1.093,0.284,-0.319,,,0.283,
BBW,🏦majority,0.513,10.289,-1.2,0.462,-1.188,0.675,-1.184,-3.935,0.66,-4.78
BBWI,🎰lottery,-0.855,9.844,1.64,-0.487,-0.176,-1.551,0.451,-3.078,2.119,-16.712
BBY,🏦majority,-0.215,6.92,1.142,-0.374,0.774,0.577,2.112,-1.268,1.747,
BC,🏦majority,0.057,6.791,2.321,0.336,-0.37,-0.501,-0.393,-2.484,-0.221,-5.279
BCC,🏦majority,0.493,7.67,1.812,-0.276,1.076,-0.156,0.423,0.024,1.211,-1.239
BCE,🎰lottery,-0.227,4.017,-0.192,0.183,0.12,-0.265,-0.194,0.418,-1.269,-11.716
BCO,🏦majority,0.477,5.989,2.755,0.176,-0.659,0.748,1.589,-0.066,0.375,-6.723
BCPC,🏦majority,-0.032,4.694,1.316,0.486,1.199,-0.405,1.323,1.563,2.858,-6.331
BCRX,⚡panic,-0.803,10.191,1.378,0.686,-1.879,-0.816,1.28,-0.927,-2.273,
BDC,🏦majority,1.084,7.26,0.268,0.587,0.3,0.231,-1.796,0.09,0.159,
BDX,🏦majority,0.185,4.23,0.566,0.175,-0.446,-1.023,1.026,-1.421,-1.253,
BE,🎰lottery,0.092,17.936,3.645,-1.202,2.207,4.013,4.171,2.548,-4.644,-22.056
BEAM,⚡panic,-1.468,13.596,4.094,0.078,-1.169,0.218,1.566,7.34,-2.477,
BELFB,🏦majority,3.587,12.099,2.782,-0.174,1.225,0.13,,-1.775,0.76,-2.112
BEN,🏦majority,-0.291,6.104,-0.005,-0.161,0.203,-0.691,1.705,-0.11,0.692,
BEP,🏦majority,0.034,6.216,1.212,-0.361,1.018,-0.997,-0.034,1.612,-2.791,
BEPC,🏦majority,0.125,6.838,1.159,0.105,0.298,-0.656,-0.203,1.337,-0.053,-2.598
BFAM,🏦majority,-0.104,7.584,-0.903,0.268,0.007,0.497,-0.736,-1.27,1.778,
BFH,🎰lottery,0.791,9.102,-1.141,0.895,1.789,0.643,-2.007,-4.378,1.809,-13.247
BG,🏦majority,0.608,5.796,-0.338,0.716,-1.164,0.178,-0.178,0.507,2.204,
BGS,⚡panic,-1.235,8.814,0.723,1.128,-0.535,-0.57,2.006,2.132,1.447,
BHC,⚡panic,-1.045,12.324,0.892,0.606,-1.506,0.938,0.082,1.535,-2.161,-2.208
BHE,🏦majority,0.442,7.415,0.466,1.589,0.275,0.531,1.61,-0.277,-1.377,
BHF,🏦majority,0.248,7.838,2.7,1.013,1.541,-0.423,2.565,0.526,2.762,-3.054
BHVN,🎲chase,0.585,15.49,3.789,-2.298,0.693,-0.4,0.247,-0.177,-0.278,
BIIB,🏦majority,-0.583,6.856,0.514,-0.339,0.141,-0.87,0.119,,-1.227,
BILL,⚡panic,-0.25,13.333,3.486,-0.299,-2.451,-1.242,1.565,,-1.871,-1.234
BIO,🏦majority,0.153,6.927,0.43,0.068,-0.535,-0.864,0.822,-3.201,-0.279,-2.12
BIP,🏦majority,0.273,5.415,1.621,0.287,0.374,-1.12,1.927,0.676,1.325,-0.084
BIPC,🏦majority,0.379,5.976,0.0,0.666,1.11,-0.713,0.3,1.231,0.466,
BJ,🏦majority,0.832,5.075,1.332,0.22,-1.223,-0.383,0.175,-0.042,-4.112,
BJRI,🏦majority,0.703,8.649,-0.339,0.741,-1.39,-0.379,-0.563,1.949,6.776,-8.318
BKD,🎲chase,0.843,8.416,2.215,-1.507,1.78,-1.281,-0.381,-0.58,2.529,
BKE,🏦majority,0.473,6.798,-0.559,-0.184,-0.974,-0.473,1.224,1.296,-1.294,
BKH,🏦majority,0.376,4.086,1.164,0.631,0.077,-0.376,1.574,-0.017,-0.305,-5.631
BKKT,🎲chase,-7.193,27.727,2.544,-3.209,10.488,2.671,0.993,,-4.516,
BKNG,🏦majority,0.832,6.397,-0.018,0.281,0.398,-0.376,0.818,-0.504,1.729,
BKR,🏦majority,0.813,6.865,0.886,0.135,-0.234,-0.871,2.804,-0.133,-1.829,
