delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,1,0.42505409871417726,1.6147969959656767,1.5,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,5
1.5,¬sig_rs_intact,2,0.5188842126762577,1.4410138298338848,1.5,True,1,True,True,True,True,1,0.0,¬sig_rs_intact,4
1.5,adx2,0,0.50516611771407,1.579986015303496,1.5,True,1,True,True,True,True,1,0.0,adx2,3
1.5,¬sig_h1_dr,2,0.33209149474470046,1.416590267317184,1.5,True,1,True,True,True,True,1,0.0,¬sig_h1_dr,3
1.5,rsi>=65,0,0.41052494509687676,1.4199316339609909,1.5,True,1,True,True,True,True,1,0.0,rsi>=65,2
1.5,rsi50-65,2,0.3256677375155576,1.4708296057740775,1.5,True,1,True,True,True,True,1,0.0,rsi50-65,3
1.5,sig_conso+sig_h1_dr,0,0.52002874327654,1.6364000057366077,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_conso+sig_h1_dr,5
1.5,sig_conso+sig_h1_dr,3,0.32259457821986154,1.3349950597372378,1.4999999999999996,True,1,True,True,True,True,1,0.0,sig_conso+sig_h1_dr,5
1.5,adx1,0,0.369883734963626,1.4470435641659474,1.5,True,1,True,True,True,True,1,0.0,adx1,3
1.5,rsi<35&conso,2,0.43349038628413694,1.5254434719874135,1.5,True,1,True,True,True,True,1,0.0,rsi<35&conso,2
1.5,rsi50-65&rs,0,0.39533314124581753,1.4615851149318306,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&rs,5
1.5,sig_h1_dr,2,0.39535740603179803,1.5890716254731787,1.5,True,1,True,True,True,True,1,0.0,sig_h1_dr,5
1.5,adx1&rs,1,0.395448686497883,1.5853150984029942,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx1&rs,4
1.5,adx3,2,0.26926892749237835,1.4388174888615177,1.5,True,1,True,True,True,True,1,0.0,adx3,5
1.5,adx-1,4,1.6319200714784283,1.9926955376299973,1.5,True,1,True,True,True,True,1,0.0,adx-1,1
1.5,sig_lead_in_lag+sig_h1_dr,3,0.37821882474050356,1.5328090029210897,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_lead_in_lag+sig_h1_dr,5
1.5,rsi<35&rs,3,0.337249221063611,1.4528293780860375,1.5,True,1,True,True,True,True,1,0.0,rsi<35&rs,2
1.5,rsi<35&conso,0,0.46007417064541145,1.6193199721980092,1.5,True,1,True,True,True,True,1,0.0,rsi<35&conso,3
