seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n,freeze_commit
1189430906,0.6,adx1&rs,adx1&rs,3.1859656563028693,3.7831048481166363,rsi<35&rs,1,1,0,37.0,False,False,False,,22123.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1017981309,0.6,¬sig_rs_intact,¬sig_rs_intact,3.119302927218377,3.4377414785325526,rsi<35&rs,1,1,0,34.0,False,False,False,,189042.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1343401885,0.6,sig_rs_intact+sig_conso+sig_h1_dr,sig_rs_intact+sig_conso+sig_h1_dr,3.3056561136618257,4.018883960694074,rsi<35&rs,1,0,1,17.0,False,False,False,,28630.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1606345593,0.6,adx1&rs,adx1&rs,3.176415976807475,3.7831048481166363,rsi<35&rs,1,1,0,37.0,False,False,False,,22123.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1025199606,0.6,adx1,adx1,3.196568596176803,3.763688914477825,rsi<35&rs,1,1,0,40.0,False,False,False,,32487.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
370952272,0.6,sig_h1_dr+sig_macro_vix_up,sig_h1_dr+sig_macro_vix_up,3.262946647591889,3.9331427723169323,rsi<35&rs,1,1,0,7.0,False,False,False,,10952.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1094571922,0.6,adx3,adx3,3.239229419007897,3.738765884190798,rsi<35&rs,1,0,1,22.0,False,False,False,,115950.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
522920736,0.6,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.2796287583187222,3.954655764997005,rsi<35&rs,1,0,1,3.0,True,False,False,NOT_PROMOTED,14608.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
586348693,0.6,sig_rs_intact&rs,sig_rs_intact&rs,3.321233610622585,4.230200307816267,rsi<35&rs,1,0,1,20.0,False,False,False,,100425.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
422437298,0.6,sig_lead_in_lag,sig_lead_in_lag,3.2539089815691113,4.112638253718615,rsi<35&rs,1,0,1,6.0,False,False,False,,36079.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
