ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
EMN,🏦majority,-0.413,5.806,1.723,0.184,-0.707,0.383,0.489,-1.956,2.638,
EMR,🏦majority,0.352,5.308,2.349,-0.33,-0.275,-0.275,0.088,-1.744,-0.792,
ENPH,⚡panic,-1.057,14.068,1.817,0.405,-1.123,0.338,1.403,-3.32,4.103,2.977
EOG,⚡panic,0.384,6.322,1.435,0.582,-1.139,-2.077,1.005,1.395,-0.662,
EPAM,🎰lottery,-0.035,11.102,-0.55,0.527,0.353,0.163,-0.096,-4.903,2.094,-13.629
EQIX,🏦majority,0.481,5.201,0.114,0.355,-0.224,-0.95,0.76,-1.267,-0.439,
EQR,🏦majority,0.333,4.092,1.611,0.044,0.338,-0.414,1.86,,0.089,
EQT,⚡panic,0.367,8.378,2.63,-0.387,0.479,0.292,1.237,0.763,-0.642,
ERIE,🏦majority,0.151,6.46,1.427,-0.929,-0.753,0.286,0.437,0.887,-0.283,
ES,🏦majority,0.434,4.614,0.542,0.255,-0.024,0.208,1.217,,0.344,-2.323
ESS,🏦majority,0.295,4.355,0.179,0.498,-0.376,-0.597,1.242,-0.892,0.73,-5.152
ESTC,⚡panic,0.0,11.233,3.104,-0.25,1.802,-0.863,1.667,3.89,-0.131,
ETN,🏦majority,1.226,5.378,1.444,-0.62,-1.954,0.205,-1.631,0.447,-2.031,
ETR,🏦majority,0.763,4.053,1.558,0.0,-0.387,0.057,1.681,0.147,0.163,
EVRG,🏦majority,0.538,3.721,1.193,0.377,0.21,0.084,0.935,-1.613,-0.419,-3.222
EW,🏦majority,0.718,6.222,2.707,0.0,-0.274,-0.681,1.1,-4.244,-0.216,
EXC,🏦majority,0.508,4.51,0.949,0.221,-0.156,-0.135,1.121,-0.63,-0.108,
EXPD,🏦majority,0.598,4.697,0.24,0.38,-0.029,-0.796,-0.67,0.739,-1.515,-7.754
EXPE,🏦majority,0.674,8.875,-0.005,0.182,1.237,-1.403,0.555,-1.763,1.515,
EXR,🏦majority,0.359,5.795,0.433,-0.3,0.088,-0.644,0.322,-1.479,2.297,-0.472
F,🏦majority,0.217,8.096,-0.001,0.857,0.352,-0.466,0.295,,-0.414,
FANG,⚡panic,0.624,7.288,5.607,0.283,0.011,-0.246,4.24,-1.549,-0.76,0.384
FAST,🏦majority,0.5,4.513,-1.361,0.132,0.537,0.518,-0.144,0.002,0.279,
FCX,⚡panic,0.574,8.683,0.9,0.95,-0.589,-1.093,3.335,1.825,-3.325,
FDS,🏦majority,0.68,5.877,0.136,0.427,0.927,-0.951,-0.812,0.814,-0.705,
FDX,🏦majority,0.137,6.162,0.3,-0.071,1.348,0.008,-0.192,0.073,-0.531,
FE,🏦majority,0.385,3.694,0.41,0.29,0.612,-0.036,-0.743,-0.762,-1.403,-2.269
FFIV,🏦majority,0.977,5.53,0.525,-0.893,0.617,-0.277,0.635,0.995,-0.78,-6.006
FICO,🏦majority,0.882,7.93,-1.996,0.408,1.869,0.606,-2.669,-0.698,-0.973,-9.74
FIS,🏦majority,-0.459,6.29,0.229,-0.133,0.135,-0.578,-0.932,0.02,-0.46,
FITB,🏦majority,0.705,6.272,1.075,0.999,1.245,0.459,0.987,0.145,-1.297,
FIX,⚡panic,1.957,8.403,2.04,-0.057,-0.181,0.163,2.04,-1.323,-3.147,-13.541
FLEX,⚡panic,1.118,9.083,5.309,1.012,-0.451,1.081,1.773,0.894,-1.703,-9.037
FMC,🏦majority,-0.432,9.09,0.208,-0.145,0.01,0.35,0.998,-0.003,0.074,
FNV,🏦majority,0.382,5.872,1.484,-0.436,0.494,1.118,1.282,-1.622,-1.16,
FOX,🏦majority,0.766,5.317,0.695,0.516,-0.428,0.366,0.165,-0.734,1.257,
FOXA,🏦majority,0.787,5.451,1.403,0.38,-0.043,-0.234,0.517,-0.167,2.029,-1.29
FRT,🏦majority,0.181,4.307,1.05,0.253,-0.666,-0.474,1.661,-1.537,0.639,
FSLR,🏦majority,-0.054,10.905,-0.81,-0.142,-0.951,-1.586,0.007,1.398,1.367,
FTNT,⚡panic,1.098,8.259,3.779,-0.195,-1.375,-0.716,2.737,2.172,-1.685,-6.809
FTV,🏦majority,0.282,4.633,1.148,0.352,0.438,-0.99,0.611,0.319,1.012,-2.935
GD,🏦majority,0.59,3.537,0.825,-0.075,-0.464,-0.376,1.269,0.268,-0.16,
GDDY,🎰lottery,0.462,6.353,-0.603,-0.006,0.552,-0.084,-1.537,-1.388,2.543,-11.902
GE,🏦majority,1.516,6.164,-0.224,0.549,-0.022,-0.084,1.365,0.486,-2.309,
GEHC,🏦majority,0.187,6.041,0.973,0.788,-0.237,-0.878,-0.707,-1.203,-4.107,
GEN,🏦majority,0.195,6.576,-0.336,-0.136,1.075,0.125,-1.145,0.574,-2.488,
GILD,🏦majority,0.415,4.663,-0.656,0.552,-0.054,-0.858,-0.498,-1.372,1.024,
GIS,🏦majority,-0.341,3.972,-0.922,-0.144,-0.114,-0.124,-0.469,0.169,-1.219,
GL,🏦majority,0.615,6.228,0.692,0.695,0.22,-0.091,1.499,-0.111,0.824,-0.784
GLW,🏦majority,0.723,7.753,-0.169,-0.445,-0.575,0.66,0.744,-0.554,0.182,0.845
GM,🏦majority,0.243,7.114,0.813,-0.052,2.176,-0.657,-0.047,1.22,-0.16,
GNRC,🏦majority,-0.099,10.721,-2.11,-0.694,1.605,1.254,-2.453,4.58,1.245,-5.05
GOLD,🏦majority,0.097,9.458,0.0,-0.033,-0.287,-0.076,0.089,4.105,-0.559,
GOOG,⚡panic,0.961,5.869,1.18,-0.819,0.541,0.2,3.793,2.024,0.565,-6.007
GOOGL,⚡panic,1.026,5.898,0.957,-0.688,-0.086,0.135,2.743,1.662,0.683,
GPC,🏦majority,0.335,5.214,1.912,0.263,-0.079,-0.396,0.805,-0.376,0.344,
GPN,🏦majority,-0.341,6.676,-0.345,0.548,-1.44,-0.069,-0.108,1.131,0.173,
GRMN,🏦majority,0.389,6.176,0.763,0.556,0.607,-0.089,0.584,-0.099,0.365,-9.684
GS,🏦majority,0.914,5.694,1.811,0.423,0.747,-0.085,2.182,-0.884,2.16,-4.923
GTLB,⚡panic,-0.706,13.596,2.698,-0.42,0.643,-1.188,2.245,1.276,6.471,
GWW,🏦majority,0.522,4.965,0.684,-0.518,-0.303,0.283,-0.668,-1.048,0.221,-2.153
HAL,⚡panic,0.501,7.955,2.491,-0.245,-0.589,-1.485,1.717,1.699,-0.181,
HAS,🏦majority,0.188,6.233,-0.381,-0.081,0.252,0.264,0.188,-1.193,-0.113,-4.595
HBAN,🏦majority,0.617,6.308,1.971,0.274,1.234,0.715,1.826,-2.562,1.073,
HCA,🏦majority,0.908,5.841,-1.727,0.443,1.513,0.632,-0.425,1.092,1.263,
HD,🏦majority,0.372,4.637,0.43,-0.373,0.225,0.418,-0.225,0.096,1.52,
HES,⚡panic,0.831,7.132,2.749,0.204,1.233,-0.125,2.086,2.705,-1.849,
HIG,🏦majority,0.827,3.909,2.161,0.891,0.116,-0.286,1.542,1.055,-1.189,-4.002
HII,🏦majority,0.231,5.958,0.567,-0.608,1.397,-1.043,0.688,1.678,1.016,-3.69
HLT,🏦majority,0.922,5.092,1.571,1.627,-1.399,-0.715,1.347,-1.056,-1.308,-5.133
HMC,🏦majority,-0.107,5.082,0.499,-0.083,0.965,-0.293,0.349,,-0.351,-3.99
HOLX,🏦majority,0.159,4.147,0.844,-0.458,0.148,-0.296,0.999,,-0.872,
HON,🏦majority,0.145,4.3,0.662,0.28,-0.945,-0.587,0.636,-0.212,0.802,
HOOD,🏦majority,0.835,13.46,-1.282,-1.546,0.054,2.597,-2.561,3.019,7.426,
HPE,🏦majority,0.823,8.294,2.245,0.082,1.566,-0.967,-0.753,0.372,-0.09,
HPQ,🏦majority,0.121,6.724,-0.883,1.16,-0.54,-0.455,0.426,-0.104,-0.091,
HRL,🏦majority,-0.22,4.699,0.388,-0.198,0.061,-0.077,0.22,1.074,3.399,
HSIC,🏦majority,-0.012,4.751,1.614,-0.172,0.248,-0.602,1.869,-0.548,1.867,
HST,🏦majority,0.284,5.571,1.301,0.643,1.218,-0.14,0.837,0.616,1.55,-3.512
HSY,🏦majority,-0.114,4.48,-1.05,0.0,0.747,0.475,-1.029,2.0,1.291,-4.738
HUBB,🏦majority,1.143,5.233,0.887,-0.473,0.258,-0.192,-0.021,-0.675,-1.085,-5.398
HUBS,🎰lottery,0.476,10.055,1.441,-1.084,-1.174,0.212,1.555,0.718,1.943,-11.676
