delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.0,3,rsi>=65,0.0,0.04196825236494101,0.04196825236494101,-0.10470661526456948,0.21375253328766633,0.3184591485522358,True,False,False,False,True,False,
0.0,3,adx-1,0.0,0.2639219344758847,0.2639219344758847,-0.40099870123187664,0.8902212596254255,1.291219960857302,True,False,False,False,True,False,EVIDENCE
0.0,3,adx0,0.0,-0.04865898265240938,-0.04865898265240938,-0.1382538768428199,0.03932887600618824,0.17758275284900815,True,False,False,False,True,False,
0.0,3,adx1,0.0,-0.12808791786399548,-0.12808791786399548,-0.25450281713025624,0.021105360527562136,0.27560817765781837,True,False,False,False,True,False,
0.0,3,adx2,0.0,0.027085116782889475,0.027085116782889475,-0.12870363454817624,0.14233582055060834,0.2710394550987846,True,False,False,False,True,False,
0.0,3,adx3,0.0,-0.0051160757080215245,-0.0051160757080215245,-0.0967009890614046,0.09097278247246207,0.18767377153386666,True,False,False,False,True,False,
0.0,3,rsi<35&rs,0.0,0.13009967444258816,0.13009967444258816,-0.29838202689995563,0.631712486684393,0.9300945135843486,True,False,False,False,True,False,EVIDENCE
0.0,3,rsi35-50&rs,0.0,0.06096171219682295,0.06096171219682295,-0.08899574932509614,0.2647339906316182,0.3537297399567143,True,False,False,False,True,False,
0.0,3,rsi50-65&rs,0.0,-0.006626746206837016,-0.006626746206837016,-0.14679240435984128,0.1423538362959916,0.2891462406558329,True,False,False,False,True,False,
0.0,3,rsi<35&conso,0.0,0.025845758056261627,0.025845758056261627,-0.214262275828454,0.2973445669003872,0.5116068427288412,True,False,False,False,True,False,
0.0,3,rsi35-50&conso,0.0,0.02569470938112796,0.02569470938112796,-0.08886934905448926,0.16840045356025635,0.25726980261474564,True,False,False,False,True,False,
0.0,3,rsi50-65&conso,0.0,0.05452836620352251,0.05452836620352251,-0.06519552188813212,0.18836173018169744,0.25355725206982954,True,False,False,False,True,False,
0.0,3,adx1&rs,0.0,-0.07583948831798841,-0.07583948831798841,-0.26282588512259886,0.08983478978528518,0.35266067490788405,True,False,False,False,True,False,
0.0,3,adx2&rs,0.0,0.057220130369575406,0.057220130369575406,-0.1668581774265805,0.2852834419253458,0.4521416193519263,True,False,False,False,True,False,
0.0,3,adx3&rs,0.0,0.08673186646328464,0.08673186646328464,-0.07111181047523638,0.2268930239718856,0.298004834447122,True,False,False,False,True,False,
0.0,4,sig_rs_intact,0.0,0.10780546181510195,0.10780546181510195,-0.03488756649773035,0.24899104278146666,0.283878609279197,True,False,False,False,True,False,
0.0,4,¬sig_rs_intact,0.0,-0.09095810020894339,-0.09095810020894339,-0.262831575165022,0.05508509696223626,0.31791667212725827,True,False,False,False,True,False,
0.0,4,sig_conso,0.0,0.019812774247774,0.019812774247774,-0.10329766496995982,0.15970765264354825,0.2630053176135081,True,False,False,False,True,False,
0.0,4,¬sig_conso,0.0,0.030229192623204452,0.030229192623204452,-0.09570073399103284,0.15454939794982966,0.2502501319408625,True,False,False,False,True,False,
0.0,4,sig_lead_in_lag,0.0,0.050546698125463176,0.050546698125463176,-0.1157705831454986,0.19241010058579158,0.30818068373129015,True,False,False,False,True,False,
0.0,4,¬sig_lead_in_lag,0.0,-0.08726677824155066,-0.08726677824155066,-0.2545484441024466,0.07577267736933994,0.33032112147178655,True,False,False,False,True,False,
0.0,4,sig_h1_dr,0.0,0.08128143269066798,0.08128143269066798,-0.11052449285053832,0.24409415568621032,0.3546186485367486,True,False,False,False,True,False,
0.0,4,¬sig_h1_dr,0.0,-0.04428953073051331,-0.04428953073051331,-0.21549196868867065,0.14338326575159951,0.35887523444027014,True,False,False,False,True,False,
0.0,4,sig_macro_vix_up,0.0,-0.3519193436870458,-0.3519193436870458,-0.7892656533993136,0.10312308664942604,0.8923887400487397,True,False,False,False,True,False,EVIDENCE
0.0,4,¬sig_macro_vix_up,0.0,0.356465953097907,0.356465953097907,-0.02274025391585364,0.8324787295495933,0.855218983465447,True,False,False,False,True,False,EVIDENCE
0.0,4,sig_rs_intact+sig_conso,0.0,0.061905024713624246,0.061905024713624246,-0.07944483576199432,0.16760922314038565,0.24705405890237997,True,False,False,False,True,False,
0.0,4,sig_rs_intact+sig_macro_vix_up,0.0,-0.2539659680935499,-0.2539659680935499,-0.7195368402011837,0.10377675054602031,0.823313590747204,True,False,False,False,True,False,EVIDENCE
0.0,4,sig_conso+sig_lead_in_lag,0.0,-0.02216306913865774,-0.02216306913865774,-0.2015329807976139,0.1732193050302837,0.3747522858278976,True,False,False,False,True,False,
0.0,4,sig_conso+sig_h1_dr,0.0,0.0137599010651151,0.0137599010651151,-0.19720781855199493,0.172627611606043,0.36983543015803794,True,False,False,False,True,False,
0.0,4,sig_conso+sig_macro_vix_up,0.0,-0.2934254197231638,-0.2934254197231638,-0.7342756655497935,0.13075936960440462,0.8650350351541981,True,False,False,False,True,False,EVIDENCE
