ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CCEP,🏦majority,0.609,4.386,1.132,0.289,-0.832,-0.353,0.257,-1.0,-0.865,-3.085
CCI,🏦majority,-0.539,5.286,-0.132,-0.156,0.819,-0.133,-0.451,1.029,-0.24,-6.004
CCL,🏦majority,0.548,11.1,-0.445,-0.665,-0.249,0.523,0.203,0.921,0.002,-1.847
CCOI,🏦majority,-0.29,10.005,0.019,0.125,0.663,0.343,0.746,-0.622,1.388,-15.658
CCRN,🏦majority,-0.377,12.556,1.175,-0.263,-2.968,-0.64,-0.132,0.653,-0.111,-7.567
CDNA,🏦majority,-0.57,15.577,1.024,-0.803,-0.961,-0.647,1.327,-1.801,2.101,-1.818
CDNS,⚡panic,0.996,6.781,2.547,0.442,0.113,0.028,4.34,0.027,-0.476,-6.63
CDW,🏦majority,0.044,6.348,1.005,-0.177,-0.197,-0.275,0.533,0.444,0.247,-2.451
CE,🎰lottery,0.019,8.843,-0.841,0.382,0.02,-0.468,-2.094,0.214,-1.8,-4.631
CECO,⚡panic,2.947,11.925,-1.095,2.053,1.433,-1.037,3.345,1.594,-1.147,-2.353
CEG,⚡panic,0.971,10.188,3.064,-0.053,0.915,-0.622,2.993,0.993,0.818,-6.191
CELH,🏦majority,0.153,13.418,0.756,-0.389,-0.721,0.687,3.204,0.528,-1.926,-11.033
CENTA,🏦majority,0.029,6.314,0.424,0.772,-0.183,-1.226,1.579,1.508,0.229,-4.929
CENX,🎰lottery,1.72,14.378,0.098,0.469,-0.135,0.414,-1.266,-0.423,-0.673,-7.668
CERT,🏦majority,-0.539,11.739,1.233,1.26,-1.364,-0.766,0.846,-0.966,-0.553,-9.449
CF,🏦majority,0.342,7.255,0.622,-0.266,-0.069,-0.57,0.341,0.484,-1.459,-4.034
CFFN,🏦majority,-0.312,7.322,0.0,-0.243,1.448,0.666,-0.423,-0.42,-1.045,
CFG,🏦majority,0.844,6.748,0.495,-0.096,0.477,-0.768,0.407,0.163,0.662,-8.003
CFLT,⚡panic,0.294,14.54,3.375,-0.25,0.672,-2.077,3.031,-1.364,-2.238,-15.652
CG,🏦majority,0.224,7.826,0.447,-0.965,-0.928,-0.758,-1.476,-0.55,-1.939,-6.607
CGBD,🏦majority,-0.072,5.626,0.072,0.235,-0.426,-0.607,-1.014,0.414,0.072,
CGC,🏦majority,-7.594,19.037,1.414,-0.854,-1.24,1.065,0.548,-13.036,-0.644,-20.009
CGNX,🏦majority,0.339,8.682,-0.773,0.278,0.38,-1.618,-0.876,0.326,-0.341,-8.32
CGON,⚡panic,1.057,12.527,8.224,0.562,-0.839,-1.165,5.122,-1.964,0.641,
CHCO,🏦majority,0.4,5.521,1.579,0.2,0.098,0.018,0.823,-2.901,0.22,
CHD,🏦majority,0.17,3.78,0.898,-0.17,-0.906,-0.115,0.685,0.317,-0.704,-2.035
CHDN,🏦majority,-0.152,5.898,0.73,-0.409,-0.691,0.007,0.452,0.306,0.939,-5.478
CHEF,🏦majority,1.352,8.454,-0.377,1.303,-0.57,-0.161,1.122,-4.726,1.454,-4.172
CHKP,🏦majority,0.538,5.154,0.382,0.246,-0.184,-0.378,0.782,0.472,0.438,-3.611
CHRD,🏦majority,0.417,6.86,1.029,0.323,-0.171,-0.417,0.204,-1.041,1.365,-7.667
CHRW,🏦majority,0.176,6.009,0.148,0.217,0.191,0.075,1.099,-0.786,3.11,-2.843
CHTR,🏦majority,-0.706,8.119,-0.061,0.709,-1.093,-0.086,0.367,-0.261,-0.301,-6.96
CI,🏦majority,0.53,4.971,0.869,0.556,-0.351,-0.405,1.804,-0.732,-0.826,-3.765
CIGI,🏦majority,0.504,7.025,0.406,0.02,-0.446,-0.622,1.081,-0.62,0.029,-3.192
CINF,🏦majority,0.563,4.595,1.39,0.391,-0.089,-0.412,0.923,-0.2,-1.493,-2.307
CL,🏦majority,0.104,3.527,0.157,-0.862,0.413,-0.33,-0.02,0.471,-1.029,-1.576
CLBT,🏦majority,0.526,11.014,-1.817,1.22,1.231,-0.526,1.9,-0.268,1.036,
CLDX,🏦majority,-0.333,10.914,0.843,-1.551,-0.331,-0.77,1.194,4.357,-3.408,-7.001
CLFD,🏦majority,-0.235,15.28,-1.935,-1.625,3.185,1.868,-0.589,5.676,2.502,-20.309
CLMT,⚡panic,2.591,16.323,7.113,2.495,-0.021,-1.721,9.382,4.675,2.622,-3.405
CLSK,🏦majority,-0.751,20.704,-1.058,0.897,-1.392,-0.092,1.714,4.189,-3.019,-14.93
CLX,🏦majority,-0.483,5.163,1.236,-0.414,-0.601,0.049,-0.594,0.609,1.886,-5.216
CMCO,🏦majority,-0.508,12.727,-0.802,1.457,-2.338,-2.194,1.199,-4.085,8.182,
CMCSA,🏦majority,-0.26,4.744,0.611,-0.238,0.033,-0.485,-0.653,1.106,0.643,-5.516
CME,🏦majority,0.204,4.029,0.47,-0.015,0.326,-0.448,0.734,-0.972,-0.03,-2.507
CMG,🏦majority,0.653,6.895,0.751,-0.733,-1.061,-0.514,0.295,-0.413,0.024,-5.315
CMI,🏦majority,0.876,5.144,-0.15,-0.407,0.249,-0.141,1.153,0.493,-0.627,-7.539
CMPR,🏦majority,0.27,11.402,-0.86,-0.476,0.919,0.219,-0.365,1.259,3.987,-5.812
CMS,🏦majority,0.484,3.556,0.001,0.197,-0.158,-0.267,0.206,-0.422,0.024,-1.159
CNC,🏦majority,0.114,8.189,-0.354,-0.045,0.937,-0.103,-0.739,-1.336,-0.61,-3.834
CNP,🏦majority,0.63,3.818,0.876,0.49,-0.268,-0.497,0.042,-0.012,0.023,-2.421
CNXC,🎰lottery,-1.082,8.723,-1.556,0.483,0.721,-0.688,-2.456,0.504,-4.064,-9.23
COCO,⚡panic,2.044,12.658,5.104,0.438,0.461,-0.903,3.329,-2.445,2.888,-26.195
COF,🏦majority,0.279,6.776,1.8,-0.372,0.469,0.201,1.069,-0.315,0.799,-6.112
