ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
ETN,🏦majority,1.294,5.457,0.459,-0.606,-0.687,0.34,-2.044,-0.569,-0.831,-3.757
ETR,🏦majority,0.725,4.058,0.662,0.191,-0.387,-0.094,-0.102,-0.117,-1.558,-2.989
EVRG,🏦majority,0.595,3.737,0.209,0.073,0.056,0.091,-0.519,-0.765,-0.724,-1.495
EW,⚡panic,0.613,6.226,2.162,0.58,-1.125,-1.482,2.165,0.728,0.127,-3.541
EXC,🏦majority,0.539,4.55,0.206,0.056,-0.087,-0.352,-0.1,1.124,-0.182,-5.131
EXPD,🏦majority,0.568,4.741,-0.11,0.62,0.204,-0.796,-0.28,0.295,0.323,-4.875
EXPE,🏦majority,0.734,8.993,0.998,0.383,-1.306,-1.119,0.645,-1.395,0.54,-11.621
EXR,🏦majority,0.163,5.823,0.188,-0.062,0.253,-0.073,-0.237,-0.405,-0.143,-3.325
F,🏦majority,0.227,8.211,-0.011,0.568,0.317,-1.118,0.864,-2.534,0.315,-3.843
FANG,⚡panic,0.552,7.329,2.345,0.071,-0.194,-0.577,0.247,-0.245,-0.531,-5.691
FAST,🏦majority,0.535,4.526,-1.374,0.475,-0.047,0.007,-0.365,0.822,0.375,-3.093
FCX,⚡panic,0.732,8.747,2.598,0.068,-0.228,-0.034,1.895,0.65,1.361,-5.119
FDS,🏦majority,0.675,5.972,-0.271,0.465,0.074,-0.657,0.145,-1.391,1.097,-5.785
FDX,🏦majority,0.241,6.253,-0.255,-0.408,0.889,-0.015,-0.472,-2.846,0.424,-5.931
FE,🏦majority,0.417,3.72,0.094,0.232,0.185,-0.481,0.016,0.735,0.108,-3.177
FFIV,🏦majority,0.957,5.577,-0.276,0.455,0.21,-0.541,0.865,-0.066,0.505,-3.683
FICO,🏦majority,0.853,8.023,-2.06,0.954,0.989,1.072,-2.349,-0.544,-2.663,-6.364
FIS,🏦majority,-0.486,6.389,-0.288,-0.033,0.84,-0.808,-0.081,1.127,1.302,-8.579
FISV,⚡panic,0.082,7.834,1.616,0.616,-0.765,-1.592,2.116,1.043,-0.018,-6.992
FITB,🏦majority,0.794,6.336,0.199,0.646,0.025,-0.261,0.122,1.555,-1.19,-6.627
FIX,⚡panic,2.223,8.511,2.075,0.12,0.298,0.056,2.058,0.065,1.152,-9.217
FLEX,⚡panic,1.303,9.256,3.705,0.328,-0.425,0.935,2.34,1.482,-0.778,-1.422
FLT,🏦majority,1.063,5.756,-1.966,1.361,0.979,-0.141,-2.015,0.993,2.04,-1.708
FMC,🏦majority,-0.281,9.216,0.152,0.259,0.685,-0.38,0.152,-1.896,-1.603,-7.18
FNV,🏦majority,0.391,5.947,1.298,-0.547,-0.185,0.916,-0.098,0.53,-0.758,-2.647
FOX,🏦majority,0.829,5.426,0.54,0.296,-0.41,-0.736,0.483,-0.209,0.716,-1.426
FOXA,🏦majority,0.803,5.568,1.045,0.341,-0.468,-0.919,0.449,-0.957,1.748,-2.674
