delta,est,lo,hi,estimator,v1,v2,status,block
0.6,0.5266122475326868,0.19776532433127658,0.8708168930006728,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5150256394754632,0.2049226661601336,0.7919532880998127,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5303594767184777,0.23960503664817723,0.821998323185788,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.4192008619258275,0.06011402634996501,0.7193815919428131,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.45523690264148653,0.1616883766148139,0.7814781467602727,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5174280942566217,0.1675217685120925,0.7851917519853013,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5238941107069123,0.16080356334376905,0.9590069936037766,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.7408938984450048,0.4719897514885091,1.114688586315748,True,False,True,BUILD,-
0.6,0.495947556016329,0.03984903207854468,0.8564788151117337,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5001561341379518,0.16976797086116882,0.7967099719106712,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.564761577906569,0.23045976286219266,0.8609811795834955,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.45604044652333087,0.10922908133691041,0.8322539796231504,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.7677847399214838,0.4853576839204396,1.058847404979836,True,False,True,BUILD,-
0.6,0.47457695791105425,0.1301955278478301,0.7802074602872984,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6429915315763529,0.4117372441944747,0.9274289786656167,True,False,True,BUILD,-
0.6,0.515159374979956,0.0930923875848419,0.8318966405998398,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.7471524260025281,0.4112287444281415,1.0991600519058333,True,False,True,BUILD,-
0.6,0.5088872491409763,0.2633332724078158,0.9032468143047215,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.4343523770773511,0.1257736032562018,0.7061909412347567,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.28098096663786654,-0.05539228972714942,0.5911902309428564,False,False,False,UNRESOLVED,EVIDENCE
0.6,0.524068494719731,0.19027625026117492,0.8182849751541224,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6534538551585028,0.2927848857629356,0.9663531727992765,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.44100889662312903,0.13165844514736486,0.8028717003231762,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.7033978673689262,0.39404724260582724,1.0567920179864867,True,False,True,BUILD,-
0.6,0.5085663668409229,0.25553444348420634,0.7662433951225235,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5033995708789368,0.08229111246577075,0.8118561537278418,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5085486232680231,0.13683917266264808,0.8851337282739942,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6115085542335191,0.3229473689618495,0.9498745663156508,True,False,True,BUILD,-
0.6,0.4906869237087935,0.1397583023847307,0.8321162400478438,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5553479638183528,0.26346601461456565,0.9241428846916734,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.776049612955198,0.4335632987045193,1.1011595469167252,True,False,True,BUILD,-
