cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
sig_lead_in_lag,G3+RL,70,744,46,245,0.08571428571428572,0.06586021505376344
sig_lead_in_lag,G3-Abs,20,181,18,121,0.1,0.06077348066298342
sig_lead_in_lag,G3-gap,671,6449,218,1001,0.05961251862891207,0.031787874089006046
sig_lead_in_lag,G3→G3,568,4759,276,953,0.06338028169014084,0.03509140575751208
sig_lead_in_lag,G3→G3→RL,39,356,18,124,0.358974358974359,0.3061797752808989
sig_lead_in_lag,G3→L46 🕐,1104,9548,430,1140,0.029891304347826088,0.027545035609551738
sig_lead_in_lag,HighBase-15mDip,1509,5570,554,1003,0.02253147779986746,0.010412926391382405
sig_lead_in_lag,L34camp→REV,13,206,12,156,0.15384615384615385,0.02912621359223301
sig_lead_in_lag,L43-TRIPLE,93,841,47,302,0.12903225806451613,0.06896551724137931
sig_lead_in_lag,ND→SC→L46 🕐,10,138,4,81,0.4,0.13768115942028986
sig_lead_in_lag,NS→SC,16,303,14,176,0.1875,0.07590759075907591
sig_lead_in_lag,P55,1881,14675,668,1254,0.014885699096225412,0.007086882453151619
sig_lead_in_lag,Parabola,7837,41465,1021,1278,0.010207987750414699,0.004099843241287833
sig_lead_in_lag,QZ-Capit,689,6068,360,1083,0.023222060957910014,0.015491100856954515
sig_lead_in_lag,QZ-Capit-Rev,3256,33027,739,1256,0.012592137592137592,0.011324068186635177
sig_lead_in_lag,RTB-Base,1176,18680,430,1249,0.026360544217687076,0.008618843683083511
sig_lead_in_lag,Spring,75,1202,55,586,0.09333333333333334,0.012479201331114808
sig_lead_in_lag,T1-CapBounce,12,133,12,111,0.08333333333333333,0.03007518796992481
sig_lead_in_lag,Washout,757,13326,298,1178,0.03963011889035667,0.019135524538496172
sig_lead_in_lag,Z-Absorb-Turn,7,26,7,24,0.14285714285714285,0.07692307692307693
sig_lead_in_lag,Z11-T11,28,307,18,156,0.21428571428571427,0.08469055374592833
sig_lead_in_lag,ZRT,222,1947,139,629,0.05855855855855856,0.02465331278890601
sig_lead_in_lag,ZRT🟢,3,9,3,8,0.3333333333333333,0.2222222222222222
sig_lead_in_lag,Zone-Retest,6765,58015,949,1283,0.01359940872135994,0.00844609152805309
sig_lead_in_lag,coil_floor,177,216,116,124,0.03389830508474576,0.0787037037037037
sig_lead_in_lag,engulf_absorb_rev,2,1,2,1,0.5,1.0
sig_lead_in_lag,ppr×NS,200,1505,142,589,0.035,0.021926910299003323
sig_lead_in_lag,🌀Engulf-AbsRev,733,1207,388,534,0.023192360163710776,0.015741507870753936
sig_lead_in_lag,🌉Z1G→T4,7,68,7,31,0.14285714285714285,0.29411764705882354
sig_lead_in_lag,🌉v2 Z1G→T3/T6,1,74,1,38,1.0,0.28378378378378377
sig_lead_in_lag,🎬StopVol-Confirm,392,821,238,455,0.02806122448979592,0.018270401948842874
sig_lead_in_lag,🎯Cluster,105,514,85,293,0.02857142857142857,0.029182879377431907
sig_lead_in_lag,🎯Confluence≥3,141,1498,100,622,0.05673758865248227,0.03137516688918558
sig_lead_in_lag,🎯Confluence≥4,16,153,15,117,0.125,0.09803921568627451
sig_lead_in_lag,🎯T1-RS-Dip,325,380,204,207,0.03076923076923077,0.04473684210526316
sig_lead_in_lag,🎯T3-RS-Dip,608,761,313,325,0.04276315789473684,0.02890932982917214
sig_lead_in_lag,🏆L34→L34,24,202,22,153,0.08333333333333333,0.024752475247524754
sig_lead_in_lag,👑Z1G-CROWN,23,373,12,142,0.43478260869565216,0.4075067024128686
sig_lead_in_lag,📐RSI-Div,362,522,210,234,0.06906077348066299,0.04597701149425287
sig_lead_in_lag,🔄DualReclaim,395,415,198,205,0.035443037974683546,0.03614457831325301
sig_lead_in_lag,🔄DualReclaim deep,63,68,50,53,0.07936507936507936,0.07352941176470588
sig_lead_in_lag,🥪T2G-Sandwich,32,136,30,105,0.0625,0.04411764705882353
sig_lead_in_lag,🧊Coil-Floor,2440,2778,720,636,0.015163934426229509,0.016918646508279338
sig_lead_in_lag,🧲Z9-HL,13,137,11,54,0.23076923076923078,0.40145985401459855
sig_lead_in_lag,🧺SEQ-20,34,237,29,156,0.11764705882352941,0.04219409282700422
sig_lead_in_lag,🪨T1G-NB,89,169,77,132,0.033707865168539325,0.03550295857988166
¬sig_lead_in_lag,Atomic,19651,2624,1203,580,0.013739758790901226,0.018673780487804877
¬sig_lead_in_lag,Atomic-R,134,16,80,13,0.07462686567164178,0.1875
¬sig_lead_in_lag,D+L1,2643,377,772,229,0.02043132803632236,0.026525198938992044
¬sig_lead_in_lag,Engulf-Abs,573,37,249,35,0.18848167539267016,0.05405405405405406
¬sig_lead_in_lag,FailedBear-Turn,160,19,119,18,0.05,0.10526315789473684
¬sig_lead_in_lag,G3+RL,744,70,245,46,0.06586021505376344,0.08571428571428572
¬sig_lead_in_lag,G3-Abs,181,20,121,18,0.06077348066298342,0.1
¬sig_lead_in_lag,G3-gap,6449,671,1001,218,0.031787874089006046,0.05961251862891207
¬sig_lead_in_lag,G3→G3,4759,568,953,276,0.03509140575751208,0.06338028169014084
¬sig_lead_in_lag,G3→G3→RL,356,39,124,18,0.3061797752808989,0.358974358974359
¬sig_lead_in_lag,G3→L46 🕐,9548,1104,1140,430,0.027545035609551738,0.029891304347826088
¬sig_lead_in_lag,HighBase-15mDip,5570,1509,1003,554,0.010412926391382405,0.02253147779986746
¬sig_lead_in_lag,L34camp→REV,206,13,156,12,0.02912621359223301,0.15384615384615385
¬sig_lead_in_lag,L43-TRIPLE,841,93,302,47,0.06896551724137931,0.12903225806451613
¬sig_lead_in_lag,ND→SC→L46 🕐,138,10,81,4,0.13768115942028986,0.4
¬sig_lead_in_lag,NS→SC,303,16,176,14,0.07590759075907591,0.1875
¬sig_lead_in_lag,P55,14675,1881,1254,668,0.007086882453151619,0.014885699096225412
¬sig_lead_in_lag,Parabola,41465,7837,1278,1021,0.004099843241287833,0.010207987750414699
¬sig_lead_in_lag,QZ-Capit,6068,689,1083,360,0.015491100856954515,0.023222060957910014
¬sig_lead_in_lag,QZ-Capit-Rev,33027,3256,1256,739,0.011324068186635177,0.012592137592137592
¬sig_lead_in_lag,RTB-Base,18680,1176,1249,430,0.008618843683083511,0.026360544217687076
¬sig_lead_in_lag,Spring,1202,75,586,55,0.012479201331114808,0.09333333333333334
¬sig_lead_in_lag,T1-CapBounce,133,12,111,12,0.03007518796992481,0.08333333333333333
¬sig_lead_in_lag,Washout,13326,757,1178,298,0.019135524538496172,0.03963011889035667
¬sig_lead_in_lag,Z-Absorb-Turn,26,7,24,7,0.07692307692307693,0.14285714285714285
