setup,n_40,med_40,mean_40,win_40,pf_40,hold_40,yrs_40,nyr_40,worst_40,n_60,med_60,mean_60,win_60,pf_60,hold_60,yrs_60,nyr_60,worst_60,n_90,med_90,mean_90,win_90,pf_90,hold_90,yrs_90,nyr_90,worst_90,n_120,med_120,mean_120,win_120,pf_120,hold_120,yrs_120,nyr_120,worst_120,d90
QZ-Capit🎋TLS,2486,2.4200524393371445,2.8482424464930984,56.51649235720032,1.5809150852479483,39.42638777152052,5,6,-0.6599356019783951,2486,3.3257721865149135,3.8376605068819583,57.80370072405471,1.6693180578014255,58.2815768302494,5,6,-0.3037984533964254,2486,3.927862125302778,5.186617507762968,57.88415124698311,1.75878578653214,85.10498793242157,5,6,-5.366599739266781,2486,3.81777443509283,6.193873586504515,56.878519710378114,1.799818337398286,110.19106999195495,5,6,-7.840180212529541,0.6020899387878647
G3-Abs🎋TLS,1069,4.493342206352518,5.25046836515752,62.67539756782039,2.478391214786975,38.97567820392891,5,6,-0.18791542546656145,1069,5.040152914957457,7.00108785856496,62.30121608980356,2.606199167085271,57.742750233863426,5,6,-2.5104814180942627,1069,6.426792728667269,8.351954157357175,62.20767072029935,2.558287552913765,84.88026192703461,4,6,-2.5095060606887323,1069,7.103225044891964,10.605778247524077,64.26566884939196,3.012463857571739,110.59027128157156,5,6,-0.5854425828356433,1.3866398137098113
ppr×NS 🕐24-26,5004,1.5203168263989544,2.58996394458494,55.59552358113508,1.571511647628644,38.81175059952039,5,6,-0.6518273154396512,5004,1.037724779802979,2.529459843783935,53.19744204636291,1.4331464606755266,57.19764188649081,4,6,-1.0619551442067885,5004,1.5198097424174941,3.171926714471481,53.69704236610712,1.4537255755021763,83.00379696243006,4,6,-3.2339514126186684,5004,1.2069907716968755,4.018628059339097,52.27817745803357,1.5087254145046647,106.55315747402078,3,6,-8.481630081018466,0.48208496261451517
G3+RL,4374,3.0925050902489817,4.338305012807955,59.57933241883859,2.0428510603259276,38.999771376314584,5,6,-1.0089622280753439,4374,3.4379653809781088,5.490024076987962,59.41929583904893,2.121560571346898,57.7185642432556,6,6,0.7557238666313473,4374,4.223392614973825,7.315959460432173,59.0992226794696,2.2455222204101752,84.72382258802011,4,6,-1.0468561546169983,4374,4.4185471990264515,8.337148621534197,58.802011888431636,2.2461676847844663,109.49931412894375,5,6,-3.2951310222227024,0.7854272339957165
G3→G3,19188,2.9211996521346926,4.016899144287925,58.614759224515325,1.7774597935427954,38.264748801334164,6,6,0.2293238190720416,19188,3.4990133377132695,5.50401612458041,58.47404627892433,1.9166149033847282,56.388107150302275,6,6,0.18047526976205389,19188,4.141846229760887,7.589241754874744,58.14571607254534,2.093269896270225,81.96810506566604,4,6,-1.8434396782009366,19188,4.130436441409374,8.60346643076998,57.645403377110696,2.11709431738786,105.51646862622472,5,6,-4.785555047233658,0.6428328920476174
G3→G3→RL,1467,6.342728959680005,7.313192156887896,67.68916155419224,2.9026169786208764,39.04089979550102,5,6,-0.7035799680244756,1467,7.880202757878668,10.06955705782329,68.43899113837763,3.3980242738697823,58.0109066121336,6,6,1.512579128807762,1467,7.930237722019578,10.883739564678214,66.25766871165644,3.0805790905558923,85.43899113837765,4,6,-2.551180484056176,1467,8.493827947190342,12.601051933541783,65.78050443081118,3.1625760830037026,111.23176550783913,5,6,-6.805048680854475,0.050034964140910354
L34camp→REV,574,1.4007933936958152,2.524712193673022,55.052264808362374,1.469866632384457,38.78397212543554,5,6,-2.1818826014407824,574,2.5652997525661023,3.7066612800191163,56.62020905923345,1.5946374234776581,57.069686411149824,5,6,-3.248265610363382,574,2.945870079817597,3.9741649754404307,55.22648083623694,1.5267223689788205,82.50174216027875,3,6,-3.6782591055378013,574,1.9501312212676758,4.865098052118886,55.22648083623694,1.5624878974992535,104.36759581881533,4,6,-6.930936683028893,0.38057032725149487
ND→SC→L46 🕐,331,4.510892646384051,5.731088271678568,61.329305135951664,2.3344311987387116,39.353474320241695,5,6,-2.881078519856856,331,6.950141512418045,7.937237875636613,65.25679758308158,2.5060184359440667,58.51359516616314,5,6,-8.09664426534003,331,6.256795229735351,8.642884268409649,63.44410876132931,2.2894781385833296,85.94259818731118,4,6,-9.384008314745012,331,5.380362088987028,10.41571179644797,60.72507552870091,2.340400357958534,110.2356495468278,4,6,-17.325366557773332,-0.6933462826826942
NS→SC,854,2.8205433801412436,4.118590939664099,56.90866510538641,1.7949802199660772,39.2271662763466,4,6,-1.0537261451782907,854,3.3391093783573575,4.8574566999334365,56.674473067915685,1.7781407990031948,58.014051522248245,4,6,-1.1018641295186202,854,2.6599811263040953,5.554633892341282,55.15222482435597,1.6842446699217417,84.15573770491804,4,6,-8.25520258223399,854,3.749653972404671,7.4754761338479065,56.674473067915685,1.824114958698164,107.27400468384074,5,6,-11.058148264677058,-0.6791282520532622
G3→L46 🕐,33266,1.8306473228103914,3.0145830507973077,55.651415860037275,1.5484981807222085,38.06484097877713,4,6,-0.5402078892991877,33266,2.2878080612727727,4.178016370233661,56.02116274875249,1.6671048232566668,55.8934347381711,5,6,-0.8013462256696466,33266,2.4519630115896804,5.256072904502221,55.31473576624782,1.7172068225122776,80.94005891901641,4,6,-2.799527109895389,33266,2.6766291417679664,6.298935140114229,55.37485721156736,1.7763910178809297,103.7473396260446,5,6,-7.04744849681978,0.16415495031690774
