generator,rep,band_p95,best_est,n_clears_band,n_promoted,n_final,pct_lvl0,pct_unchanged,pct_lvl1,pct_lvl2,combolab_freeze
marginal_date_v1,150,3.225049478933215,3.064690437167883,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,151,3.2618322782218456,2.5759204290807247,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,152,3.2622306561097503,2.8129897080361843,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,153,3.259392506442964,2.750334795564413,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,154,3.249841909855604,3.3844509162008762,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,155,3.2835932541638613,3.049823921173811,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,156,3.2419969514012337,3.07485805824399,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,157,3.2350700814276934,2.899577561765909,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,158,3.2070781104266644,2.9392853379249573,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,159,3.253114204853773,3.1418084166944027,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,160,3.209226573817432,2.86939712241292,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,161,3.22925650049001,2.927050366997719,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,162,3.27289124019444,2.7502541430294514,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,163,3.3206845493987203,2.9216705821454525,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,164,3.202616204507649,3.0954379588365555,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,165,3.275800789706409,2.686407696455717,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,166,3.237426308915019,2.9278432950377464,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,167,3.204666245728731,2.89675984531641,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,168,3.192564840428531,3.3110039308667183,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,169,3.279550285078585,2.973570115864277,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,170,3.243402987718582,2.9329387471079826,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,171,3.236732352524996,2.7653167955577374,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,172,3.275384190492332,2.8831264935433865,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,173,3.281536060385406,2.9953498393297195,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,174,3.2426280481740832,2.6822036132216454,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,175,3.323725941590965,2.98853125423193,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
