ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AQN,🏦majority,0.0,5.93,0.191,0.0,0.0,0.262,0.191,0.0,-0.315,-3.978
AR,🏦majority,0.511,9.779,0.797,-0.557,-0.131,0.753,-0.307,-0.525,-1.46,-7.187
ARCB,⚡panic,0.459,9.832,1.516,0.168,-0.393,-1.104,1.725,0.378,1.265,-4.387
ARCC,🏦majority,0.366,3.624,1.304,0.179,-0.146,-0.366,0.462,-0.467,-0.011,-4.184
ARCO,🏦majority,0.21,6.683,1.296,-0.21,0.061,-0.21,0.722,-1.342,0.426,-3.713
ARCT,🎰lottery,-1.132,18.27,2.229,0.84,1.745,-1.003,-1.473,0.596,-2.173,-13.019
ARE,🏦majority,-0.699,6.726,0.538,-1.043,-0.712,-0.621,-0.47,-0.017,-1.52,-7.497
ARES,🏦majority,1.26,7.377,-0.923,0.766,0.704,-0.414,-0.204,-0.617,-0.278,-4.517
ARHS,🏦majority,0.32,14.036,0.692,-0.904,0.027,-0.853,1.412,0.224,-1.113,-23.569
ARI,🏦majority,-0.13,6.649,1.033,0.271,-0.388,-0.216,1.092,-1.758,0.13,-3.786
ARIS,⚡panic,-0.863,15.958,8.879,-0.211,-0.637,-0.292,2.099,1.883,-2.225,
ARLO,⚡panic,0.073,11.629,4.578,-0.297,1.348,-0.102,3.348,0.574,-0.132,-4.515
ARLP,🏦majority,1.075,6.87,1.502,-0.243,0.76,0.465,0.915,-0.554,0.056,-3.328
ARMK,🏦majority,0.744,6.137,0.376,0.621,0.149,-0.628,0.134,-0.524,-0.447,-4.398
AROC,🏦majority,1.115,7.09,1.386,0.552,0.315,0.003,2.404,2.01,0.313,-1.947
ARQT,⚡panic,0.558,14.383,4.502,0.217,0.397,-0.254,3.611,-1.565,-7.154,-19.159
ARR,🏦majority,-0.182,6.339,0.653,0.182,0.13,-0.611,1.255,-1.327,-0.765,-1.716
ARRY,⚡panic,-1.496,16.125,2.025,0.097,0.429,-1.971,1.364,-3.015,0.246,-5.8
ARVN,🎰lottery,-1.529,14.037,0.069,0.32,1.288,0.448,0.722,2.858,-1.265,-13.765
ARW,🏦majority,0.644,6.217,1.231,-0.631,0.742,-0.706,0.193,1.086,2.184,-6.633
ARWR,⚡panic,-0.193,12.627,1.291,-0.199,-1.158,-0.385,2.817,0.844,3.517,-7.112
AS,🏦majority,0.833,10.05,-2.12,-0.536,-1.416,-0.569,0.113,-0.708,-0.673,
ASAN,🏦majority,-1.089,15.318,1.371,0.078,0.098,0.252,-1.054,3.353,-4.665,-18.708
ASB,🏦majority,0.415,6.162,0.886,0.534,-0.196,-0.677,0.711,0.02,-0.387,-2.086
ASC,🏦majority,0.947,9.402,-1.379,1.151,-0.23,-0.243,-0.692,2.46,-1.347,-0.334
ASH,🏦majority,0.0,5.734,0.901,-0.421,-0.064,-1.289,0.161,1.0,0.553,-3.279
ASIX,🎰lottery,-0.676,10.704,-0.796,0.289,2.126,-1.128,-1.52,1.351,-3.216,-3.567
ASND,⚡panic,0.051,9.161,8.53,1.27,0.664,-0.769,6.788,-0.357,-2.596,-4.74
ASO,🏦majority,0.23,8.325,1.264,-0.667,0.248,-0.664,1.236,-1.268,-0.569,-2.661
ASPN,🎰lottery,-1.556,17.159,-1.466,-0.583,5.147,1.147,-2.317,-0.691,-4.044,-12.623
ASTE,🎰lottery,0.733,12.212,0.586,0.766,2.753,-0.654,-0.077,2.131,3.444,-9.944
ASTL,🏦majority,-0.967,10.108,0.13,-0.302,-0.402,1.465,1.509,-1.589,0.005,
ASTS,🏦majority,-0.091,21.298,1.608,-2.201,-1.599,0.344,0.231,5.586,2.125,-13.267
ATEC,🏦majority,0.0,12.732,0.544,-1.233,0.066,0.502,1.181,2.196,3.794,-11.584
ATEN,🏦majority,1.083,7.479,-0.641,-0.07,0.376,-0.623,-0.332,-0.854,3.382,-4.699
ATEX,🎰lottery,0.061,12.486,0.621,-1.38,0.651,0.114,-2.164,-4.292,-2.119,
ATI,🏦majority,1.421,9.058,0.754,-0.563,0.754,1.068,0.922,-0.436,-1.356,-3.207
ATKR,⚡panic,0.407,9.261,2.771,0.106,-0.723,-1.577,1.191,-2.329,-1.644,-3.53
ATMU,🏦majority,1.0,6.729,-0.069,-1.203,1.784,0.76,-0.645,-0.186,0.791,
ATO,🏦majority,0.635,3.49,0.659,0.277,0.43,-0.459,0.683,0.27,0.522,-1.031
ATR,🏦majority,0.317,4.308,0.537,0.051,-0.265,-0.321,0.036,0.556,1.215,-2.424
ATRC,🏦majority,-0.684,9.12,-0.251,0.012,-0.018,-1.192,1.151,0.349,2.144,-1.288
AU,🏦majority,0.685,10.419,1.944,0.482,1.124,1.231,1.147,-1.927,0.452,-3.892
AUB,🏦majority,0.209,6.613,1.059,0.303,-0.928,-0.299,1.064,-0.754,-0.702,-3.576
AUPH,🏦majority,0.626,13.073,1.374,0.207,0.633,0.562,1.615,-0.766,1.365,-3.412
AVA,🏦majority,0.08,3.986,0.259,0.458,-0.129,-0.329,0.368,-0.08,-1.38,-4.564
AVAV,🏦majority,0.571,11.936,0.025,-0.2,-0.374,0.49,0.919,3.292,-2.266,-2.376
AVB,🏦majority,0.288,4.012,1.613,-0.193,-0.468,-0.819,1.45,-0.555,0.597,-1.747
AVGO,🏦majority,1.639,8.408,1.487,0.645,0.715,0.099,0.228,-1.271,-2.432,-1.081
AVNS,🎰lottery,-0.4,9.884,-0.219,-0.214,0.4,-0.051,0.269,-3.157,0.46,-7.471
AVNT,🎰lottery,0.258,7.174,0.234,0.01,1.365,0.379,-1.541,-2.969,-0.984,-7.991
AVPT,🏦majority,0.496,9.399,0.453,-0.122,0.297,0.046,0.484,-0.125,-0.967,-6.707
AVT,🏦majority,0.614,5.876,1.811,0.157,-0.442,0.26,2.09,-0.561,0.427,-1.986
AVTR,🏦majority,-0.294,7.639,-1.563,0.681,-0.293,-1.054,0.122,-3.318,3.272,-4.636
AVXL,🎰lottery,-2.393,14.552,-0.382,-0.471,0.921,0.087,2.393,-1.496,-3.712,-8.394
AVY,🏦majority,-0.158,4.45,1.281,0.199,-0.137,-0.252,0.674,-0.163,0.159,-2.62
AWI,🏦majority,0.315,5.622,-0.392,-0.006,-0.943,0.045,-0.342,-0.479,1.175,-3.54
AWK,🏦majority,0.0,4.471,-0.285,0.487,-0.776,-0.861,-0.31,-0.696,-0.969,-6.669
AWR,🏦majority,0.021,4.066,0.614,0.312,-0.328,-0.306,0.833,-0.871,-1.096,-2.959
AX,🏦majority,0.901,8.355,1.118,-0.499,0.514,-0.507,0.283,-2.596,1.109,-2.354
AXON,⚡panic,1.006,10.337,1.88,1.096,-0.955,-1.426,0.555,-0.872,0.825,-10.294
AXP,🏦majority,0.641,5.738,0.351,0.0,0.354,-0.655,0.524,0.101,0.919,-3.274
AXS,🏦majority,0.698,4.433,1.434,0.737,-0.083,-0.746,0.849,0.776,-0.225,-6.424
AXSM,🏦majority,1.128,13.882,-0.91,0.499,0.893,1.06,-0.187,0.932,-5.738,-0.32
AXTA,🏦majority,0.386,5.931,-0.305,0.891,0.168,-1.077,-0.037,-0.81,0.269,-1.823
AYI,🏦majority,1.021,6.392,-0.278,0.494,0.223,-0.412,-0.178,-0.548,1.755,-6.447
AZN,🏦majority,0.629,7.273,0.263,0.521,-0.285,0.004,-0.045,0.347,0.642,-2.432
AZO,🏦majority,0.693,4.794,1.542,0.456,0.423,-0.107,1.311,-0.328,-0.751,-1.921
AZTA,🎰lottery,-0.784,10.213,-1.556,1.42,-0.211,-0.672,-0.065,-1.516,-2.199,-4.612
AZZ,🏦majority,0.921,7.054,0.798,0.036,-0.986,-1.247,0.131,-0.061,1.766,-7.579
B,🏦majority,0.549,9.885,0.241,0.692,-0.018,0.574,-0.11,4.239,0.324,-2.771
BA,🏦majority,0.038,7.442,0.477,-0.517,-0.806,0.819,0.656,-0.199,1.547,-7.542
BAC,🏦majority,0.864,5.797,-0.633,0.588,0.418,-0.147,0.342,2.399,-0.588,-0.729
BAH,🏦majority,0.315,6.307,0.025,0.102,-0.254,-0.465,-0.629,0.548,-1.122,-5.909
BALL,🏦majority,0.375,5.928,0.658,-1.204,-0.466,-0.265,-0.623,-0.049,-1.081,-9.325
BAM,🏦majority,0.358,6.76,1.077,-0.098,0.35,-0.272,-0.016,0.543,0.169,-5.259
BANC,🏦majority,0.678,6.878,1.414,1.016,-0.837,-0.226,0.943,-1.402,0.837,-2.484
BAND,🏦majority,-1.475,19.307,3.102,-1.597,-0.119,-0.29,-0.415,5.558,-8.749,-8.116
BANF,🏦majority,0.381,6.407,-0.223,0.258,0.513,0.181,0.327,-0.147,0.902,-3.44
BANR,🏦majority,0.464,6.059,1.226,-0.07,-0.092,0.053,1.065,0.667,-0.592,
BAP,🏦majority,0.961,6.169,0.225,-0.641,-0.224,-0.101,0.85,0.114,1.65,-2.239
BATRK,🏦majority,0.184,5.049,0.727,0.598,0.758,-0.05,0.564,-0.346,0.441,
BAX,🏦majority,-0.407,6.43,0.407,0.037,-1.133,-0.449,1.318,-1.094,-2.094,-1.849
BBDC,🏦majority,0.0,5.133,0.389,0.813,0.0,-0.887,0.267,-0.886,-1.089,
BBIO,🎰lottery,0.341,14.177,-2.332,0.428,-1.829,-1.653,-2.63,0.297,-3.737,-16.794
BBW,🎰lottery,0.254,11.183,-1.993,0.627,-0.49,-1.362,-2.044,2.343,-2.337,-9.876
BBWI,⚡panic,-0.914,9.883,0.016,0.494,-0.49,-0.352,0.923,-2.022,2.338,-8.643
BBY,🏦majority,-0.217,7.066,0.283,-0.395,0.195,-0.47,0.534,-0.327,0.972,-2.672
BC,🏦majority,0.03,6.884,0.905,0.247,0.409,-0.607,0.166,0.846,-0.277,-3.207
BCC,🏦majority,0.437,7.675,-0.567,0.597,0.249,-0.024,0.155,0.583,0.175,-5.573
BCE,🏦majority,-0.241,4.054,-0.184,-0.186,0.492,-0.011,0.197,-1.872,0.43,-2.244
BCO,🏦majority,0.447,6.128,1.289,0.193,-0.32,0.134,0.223,-0.604,-2.206,-3.47
BCPC,🏦majority,0.088,4.882,0.803,0.071,0.114,-0.324,1.338,-1.014,-1.54,-3.632
BCRX,⚡panic,-0.858,10.343,1.566,0.698,-0.837,-1.325,1.433,-2.738,3.082,-3.083
BDC,🏦majority,1.153,7.298,0.972,0.27,0.219,-0.171,0.822,-0.938,-0.009,-5.159
BDX,🏦majority,0.04,4.261,0.741,0.186,-0.481,-1.101,1.186,-0.49,0.978,-1.028
