delta,planted,rep,world,band,known,rank,rank_le_3,rank_le_5,screen,final,regret,n_screen,freeze_commit
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,1,1745695660,0.3845484589601746,False,5,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag,4,1628033617,0.37507012775374005,False,10,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&conso,2,2112876186,0.24706735209469785,False,27,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_h1_dr,1,1745695660,0.37224336781629624,False,20,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact+sig_conso,1,1745695660,0.3729411276389054,False,11,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&rs,3,486140655,0.2729522845737879,False,6,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,rsi<35&conso,4,1628033617,0.3917397516217255,False,1,True,True,True,False,0.0,1,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,sig_conso+sig_h1_dr,2,2112876186,0.2705623621198388,False,2,True,True,True,False,0.0536290140345419,5,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,¬sig_conso,1,1745695660,0.34220959711719584,False,1,True,True,True,False,0.0,1,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,rsi50-65,0,1787191236,0.3150233694600419,True,1,True,True,True,True,0.0,3,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,adx0,2,2112876186,0.22240201217138883,True,1,True,True,True,True,0.0,1,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,sig_h1_dr,0,1787191236,0.3696173930321403,False,2,True,True,True,False,0.08135083354810546,4,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,adx1,1,1745695660,0.3583568648765769,False,1,True,True,True,False,0.0,2,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,rsi35-50&rs,1,1745695660,0.3337666995623935,False,1,True,True,True,False,0.0,4,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,sig_conso+sig_h1_dr,0,1787191236,0.3824005352349389,False,2,True,True,True,False,0.05608694296501915,4,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,rsi<35&rs,2,2112876186,0.27659348797755906,False,1,True,True,True,False,0.0,1,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,rsi35-50&conso,4,1628033617,0.33204462674255475,True,1,True,True,True,True,0.0,3,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.6,sig_lead_in_lag+sig_h1_dr,2,2112876186,0.2696267314314044,False,2,True,True,True,False,0.009667775436542847,3,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
