ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CNP,🏦majority,0.608,3.807,1.492,0.488,-0.119,-0.111,0.529,-0.248,0.81,
CNXC,🎲chase,-0.609,8.602,-1.488,-0.133,0.147,-1.393,-3.686,-1.978,-4.315,
CNXN,🏦majority,0.183,6.858,4.285,0.292,-0.138,1.097,4.379,,,
COCO,🏦majority,2.174,12.154,5.225,0.972,-1.359,0.874,1.151,0.266,-1.587,
COF,🏦majority,0.237,6.646,1.784,-0.515,0.067,-0.595,2.218,,-1.248,
COGT,⚡panic,0.575,14.382,-2.76,-0.325,-0.328,-0.884,3.79,1.59,,
COHR,🏦majority,0.897,12.508,-0.188,-0.61,-0.366,-0.627,-0.189,-3.242,-0.891,
COHU,🏦majority,0.235,8.816,0.842,0.948,-0.208,-0.5,-0.653,-2.605,2.048,
COIN,⚡panic,-0.455,17.013,2.77,0.038,0.009,0.057,0.49,,-3.698,
COKE,🏦majority,1.004,7.481,1.089,0.684,-0.612,-0.169,2.262,-0.334,1.829,-5.382
COLB,🏦majority,-0.077,7.117,1.774,0.557,0.348,0.369,3.219,-0.007,1.274,
COLL,🏦majority,0.211,8.216,2.015,-0.06,0.173,0.633,0.955,-1.941,-0.179,-6.724
COLM,🏦majority,-0.653,5.465,2.677,0.862,-0.757,-1.393,1.75,-1.379,0.975,
COO,🏦majority,0.182,5.65,1.526,-0.809,0.014,-0.097,0.632,,2.511,-3.885
COP,🏦majority,0.672,6.357,2.432,0.11,-0.27,-1.189,0.501,-1.443,0.28,
COR,🏦majority,1.337,4.483,0.994,-0.101,0.122,-0.253,-0.509,0.071,-1.29,
CORT,🏦majority,1.751,11.547,3.795,-0.811,-0.468,-0.077,2.742,-0.089,1.962,-9.819
COST,🏦majority,1.084,4.511,1.722,-0.648,-0.731,0.207,0.306,1.441,-0.75,
CPB,🏦majority,-0.308,4.321,-0.111,-0.234,0.172,-0.751,0.212,0.633,-0.721,
CPRT,🏦majority,0.15,5.252,-0.33,0.273,-0.16,0.894,0.065,0.986,-1.486,-2.222
CPRX,🏦majority,0.897,9.293,2.192,0.869,1.94,-1.165,1.374,-0.879,-2.698,
CPT,🏦majority,0.297,4.24,0.989,-0.115,-0.038,-0.018,0.539,0.504,0.365,
CRAI,🏦majority,1.148,7.917,4.04,-1.063,0.562,0.408,0.023,0.908,1.349,
CRDO,🎲chase,2.037,17.616,3.171,-1.116,1.268,1.16,3.198,,-3.009,
CRM,🏦majority,0.291,6.864,0.091,-0.083,0.152,0.101,1.357,0.849,0.859,
CRMT,⚡panic,-1.364,12.43,-0.899,1.741,1.413,0.132,1.211,,8.641,
CRNC,⚡panic,-2.558,15.029,-2.292,1.393,-0.782,-0.31,-0.851,-0.8,2.455,
CRNX,⚡panic,0.205,12.679,1.332,1.758,0.674,-0.749,2.538,2.237,-0.902,
CROX,🏦majority,0.515,10.463,1.936,0.352,1.135,1.335,2.769,-0.81,-3.863,
