band,n_clears,n_promoted,n_final,gen,evaluated,ineligible,uncomputable,coverage,design_hash,shift
2.726366583531155,1,1,1,G1,,,,,,
2.783760390060461,0,0,0,G1,,,,,,
2.7234380777127294,0,0,0,G1,,,,,,
2.7914586393789222,0,0,0,G1,,,,,,
2.7458573514931115,0,0,0,G1,,,,,,
2.753606712159067,0,0,0,G1,,,,,,
2.7598979605349894,0,0,0,G1,,,,,,
2.7831607095013564,0,0,0,G1,,,,,,
2.83876813522003,0,0,0,G1,,,,,,
2.77148335937679,1,1,1,G1,,,,,,
2.803445560638617,0,0,0,G1,,,,,,
2.7695699333048025,0,0,0,G1,,,,,,
2.7640623312123807,0,0,0,G1,,,,,,
2.7422874500247474,1,1,1,G1,,,,,,
2.7504090461654,0,0,0,G1,,,,,,
2.80301476758676,0,0,0,G1,,,,,,
2.7370012907023518,0,0,0,G1,,,,,,
2.778158605778154,0,0,0,G1,,,,,,
2.722248785468342,0,0,0,G1,,,,,,
2.7838509769868476,0,0,0,G1,,,,,,
2.7410962968105665,0,0,0,G1,,,,,,
2.757035085776708,0,0,0,G1,,,,,,
2.8722973939266483,0,0,0,G1,,,,,,
2.728773218373862,0,0,0,G1,,,,,,
2.788693572899305,0,0,0,G1,,,,,,
2.8200686953897525,0,0,0,G1,,,,,,
2.749658399876363,0,0,0,G1,,,,,,
2.743976403129112,0,0,0,G1,,,,,,
2.730655289937424,0,0,0,G1,,,,,,
2.636521070215204,0,0,0,G1,,,,,,
2.6996610596183777,0,0,0,G1,,,,,,
2.7491995228075177,0,0,0,G1,,,,,,
2.7619197260949955,0,0,0,G1,,,,,,
2.790446036140928,0,0,0,G1,,,,,,
2.806694880371204,0,0,0,G1,,,,,,
2.7342973828661483,0,0,0,G1,,,,,,
2.7283460099095365,0,0,0,G1,,,,,,
2.7378900777890967,0,0,0,G1,,,,,,
2.7645029337914786,0,0,0,G1,,,,,,
2.8309531669842474,0,0,0,G1,,,,,,
2.7272973726900034,0,0,0,G1,,,,,,
2.764447755680064,0,0,0,G1,,,,,,
2.7466022285791385,0,0,0,G1,,,,,,
2.7601429241914306,0,0,0,G1,,,,,,
2.793590152725171,0,0,0,G1,,,,,,
2.7744559593092237,0,0,0,G1,,,,,,
2.8160591397927166,0,0,0,G1,,,,,,
2.8096088309576563,0,0,0,G1,,,,,,
2.833360806910887,0,0,0,G1,,,,,,
2.7953232444503104,0,0,0,G1,,,,,,
2.801174552584121,0,0,0,G1,,,,,,
2.770332592471837,0,0,0,G1,,,,,,
2.7934559295238133,0,0,0,G1,,,,,,
2.774427913880155,0,0,0,G1,,,,,,
2.729541153709944,1,1,1,G1,,,,,,
2.770059890481559,0,0,0,G1,,,,,,
2.736089800011192,0,0,0,G1,,,,,,
2.8855288428528634,0,0,0,G1,,,,,,
2.8105712097984368,0,0,0,G1,,,,,,
2.742942690062712,0,0,0,G1,,,,,,
2.834448240487774,0,0,0,G1,,,,,,
2.7706859618700963,0,0,0,G1,,,,,,
2.748058159121271,0,0,0,G1,,,,,,
2.788074553938486,0,0,0,G1,,,,,,
2.7371462878738404,0,0,0,G1,,,,,,
2.802018403574984,0,0,0,G1,,,,,,
2.786828084225952,1,1,1,G1,,,,,,
2.744607188099517,0,0,0,G1,,,,,,
2.784121927767676,0,0,0,G1,,,,,,
0.5312228437203135,1,0,0,G2,6.0,0.0,0.0,0.8584678167315897,a7d9c85c7abd,681.0
0.9188374253550521,0,0,0,G2,6.0,0.0,0.0,0.8446618906168094,3eeffb93cd82,89.0
2.2204460143752933,1,1,1,G2,6.0,0.0,0.0,0.8042923926901827,3969fcf6ac24,495.0
2.438588437692456,2,2,2,G2,6.0,0.0,0.0,0.8283202221193892,44e6eed48ee2,251.0
3.0581098812338654,1,1,1,G2,6.0,0.0,0.0,0.8711544823023487,9e4669bd4f29,1121.0
1.8230442735758747,1,1,1,G2,6.0,0.0,0.0,0.8309469573706476,feefe6117710,1043.0
1.3681513889665973,1,1,0,G2,6.0,0.0,0.0,0.787713695284614,419f8ddbd678,1009.0
2.2685422918713143,1,1,1,G2,6.0,0.0,0.0,0.8491217063989962,260f9de88fc3,868.0
2.7268408054875324,1,1,1,G2,6.0,0.0,0.0,0.8550285906491759,9a361e11da2a,434.0
0.6250404141565543,0,0,0,G2,6.0,0.0,0.0,0.8543354335433543,90ab7eb0d628,82.0
0.44139930170512476,0,0,0,G2,6.0,0.0,0.0,0.8586061825498446,d62175702815,567.0
1.3082087652378855,0,0,0,G2,6.0,0.0,0.0,0.8491171749598716,31c0d1c3419c,93.0
2.281830958809572,1,1,1,G2,6.0,0.0,0.0,0.8629074889867842,881bfbd63a88,465.0
0.7977366793542113,1,0,0,G2,6.0,0.0,0.0,0.8560970911192448,f0cf34f97558,645.0
0.3921726111568078,2,0,0,G2,6.0,0.0,0.0,0.7788309636650869,309172c9c40a,801.0
0.9574743667889191,2,1,1,G2,6.0,0.0,0.0,0.8589805434957388,aa5ecced2c0f,924.0
2.614124052413969,1,1,1,G2,6.0,0.0,0.0,0.8370602265951104,b16554f2b8b9,254.0
0.7513676316339893,0,0,0,G2,6.0,0.0,0.0,0.8054821664464994,16df84457683,635.0
