ticker,date,med_before,med_after,level_shift,bar_ratio
CCHH,2026-07-13,0.425,1.41,3.317647058823529,9.368421052631579
CCXI,2026-02-09,51.64,10.17,0.19694035631293572,0.19734564339296018
CDLX,2026-06-08,0.755,4.279999999999999,5.668874172185429,8.666666666666668
CDTG,2026-06-01,0.33,1.93,5.848484848484848,28.8
CETX,2026-06-04,0.99,2.915,2.9444444444444446,9.237288135593221
CGTL,2025-04-25,3.9799999999999995,0.96,0.2412060301507538,0.24754098360655738
CGTL,2026-07-07,0.4,4.45,11.125,14.612903225806452
CHOW,2025-12-10,9.305,0.7,0.07522837184309511,0.15641025641025644
CHSN,2024-10-04,13784.0,62720.0,4.550203134068485,4.871710526315789
CHSN,2025-01-23,49840.0,2502.4,0.050208667736757626,0.13028571428571428
CHSN,2026-04-24,249.0,1.27,0.005100401606425703,0.07377510040160642
CISS,2025-12-11,271.6,24.035,0.0884941089837997,0.1929824561403509
CLRB,2024-12-11,60.9,7.865,0.12914614121510673,0.23854166666666668
CNR,2025-01-15,24.505000000000003,82.61000000000001,3.3711487451540503,4.132603406326034
COHR,2022-09-08,267.41499999999996,35.16,0.13148103135575792,0.1624971827811584
CORZ,2022-10-27,1.44,0.15,0.10416666666666667,0.21782178217821782
CORZ,2022-12-21,0.17,3.455,20.323529411764707,0.2380952380952381
CORZ,2024-01-24,0.14,3.465,24.749999999999996,43.0
CREG,2026-06-16,0.385,1.98,5.142857142857142,10.894736842105262
CRIS,2026-07-06,0.485,4.79,9.876288659793815,16.971428571428575
CRVO,2024-12-10,12.085,2.225,0.18411253620190318,0.2107317073170732
CTNT,2024-05-14,5056.0,1733.28,0.3428164556962025,5.378151260504202
CTNT,2024-05-21,5056.0,1595.6799999999998,0.3156012658227848,0.07994579945799458
CTNT,2026-04-15,296.1,2.1399999999999997,0.007227288078351907,0.10160714285714285
CUPR,2025-08-15,7.535,1.045,0.1386861313868613,0.12659574468085105
CUPR,2026-05-26,0.29,3.99,13.758620689655174,7.259259259259259
CURR,2024-09-03,0.11,2.435,22.136363636363637,36.25
CXAI,2023-04-13,1.815,10.149999999999999,5.5922865013774095,4.45625
CYCN,2026-04-01,1.375,3.1399999999999997,2.2836363636363632,4.116129032258065
DAIC,2026-06-01,0.19,1.8050000000000002,9.5,32.42857142857142
DBD,2023-08-14,0.74,18.630000000000003,25.17567567567568,82.28
DFNS,2026-02-09,9.99,1.275,0.1276276276276276,0.1859922178988327
DKI,2025-09-30,98.56,10.57,0.10724431818181818,0.12285714285714286
DLXY,2025-09-30,5.085,0.91,0.17895771878072764,0.1681547619047619
DOGZ,2026-01-26,11.05,1.48,0.1339366515837104,0.2378854625550661
DRUG,2024-10-15,1.165,43.475,37.317596566523605,15.457831325301205
DTSS,2024-02-14,2.4699999999999998,7.96,3.222672064777328,6.108843537414966
DWTX,2025-01-23,2.5149999999999997,6.654999999999999,2.646123260437376,4.767857142857143
EDBL,2026-07-13,0.22,2.91,13.227272727272728,42.0
EDHL,2025-07-14,78.56,8.63,0.10985234215885947,0.2123546511627907
EJH,2024-08-13,16500.0,1306.875,0.07920454545454546,0.11450381679389313
ELME,2026-01-08,17.31,2.19,0.12651646447140383,0.1598384304673976
ELOX,2026-05-12,1.32,11.969999999999999,9.068181818181817,0.013986013986013988
ELOX,2026-05-15,1.32,12.0,9.09090909090909,96.5
ELOX,2026-05-20,1.32,12.0,9.09090909090909,10.98181818181818
ELPW,2025-08-20,2892.8,420.16,0.1452433628318584,0.12449278846153845
ELPW,2026-01-30,173.95,6.8100000000000005,0.039149180799080203,32.40918337692532
ELPW,2026-02-02,173.95,6.33,0.036389767174475424,0.09612625538020086
ENGN,2026-05-07,7.25,1.72,0.23724137931034484,0.1943502824858757
ENLV,2026-07-09,0.695,4.26,6.129496402877698,15.416666666666668
EXOD,2022-06-28,16.99,3.6799999999999997,0.21659799882283698,0.2210526315789474
EZGO,2023-09-06,309375.0,21067.5,0.0680969696969697,0.17045454545454544
EZGO,2026-05-06,199.01999999999998,1.525,0.007662546477740931,0.08421052631578947
FAMI,2026-06-29,1.27,0.19,0.14960629921259844,0.2295081967213115
FBRX,2021-09-03,731.125,74.125,0.10138485211147205,0.1769849597761455
FCHL,2026-04-17,90.38,1.5550000000000002,0.017205133879176812,0.23118279569892472
FCUV,2026-06-23,0.825,2.955,3.581818181818182,7.611111111111112
FEMY,2023-09-26,0.42,1.35,3.2142857142857144,4.484848484848484
FEMY,2026-06-08,0.385,3.795,9.857142857142856,17.387096774193548
FIEE,2025-07-10,211.455,2.825,0.01335981650942281,0.016448839636237143
FIG,2025-07-31,22.009999999999998,69.645,3.16424352567015,4.848866498740554
FLYE,2024-07-23,568.0,72.255,0.1272095070422535,0.1833855799373041
FLYE,2025-08-15,104.8,14.245000000000001,0.135925572519084,0.1288659793814433
GCTK,2024-11-13,2591.07,310.26,0.119742037073487,0.22938702688925705
GDC,2026-05-06,3.685,0.11,0.029850746268656716,0.2070116861435726
GDC,2026-05-07,3.635,0.11,0.030261348005502064,0.12096774193548386
